kind,lat0_i,lat0_j,lat0_k,lat1_i,lat1_j,lat1_k,x0,y0,z0,x1,y1,z1
record_deleted,0.5,0.0,6.5,0.5,0.5,7.0,98.410,53.404,539.847,98.578,93.002,579.226
record_deleted,0.5,0.0,6.5,1.0,0.5,6.5,98.410,53.404,539.847,138.099,92.692,539.770
record_deleted,0.5,0.5,6.0,0.5,1.0,6.5,98.643,92.783,500.249,98.811,132.381,539.628
record_deleted,0.5,0.5,7.0,0.5,1.0,6.5,98.578,93.002,579.226,98.811,132.381,539.628
record_deleted,1.0,0.0,6.0,1.0,0.5,6.5,137.930,53.094,500.391,138.099,92.692,539.770
record_deleted,1.0,0.0,6.0,1.5,0.0,6.5,137.930,53.094,500.391,177.386,53.003,539.912
record_deleted,1.0,0.0,6.0,1.5,0.5,6.0,137.930,53.094,500.391,177.619,92.382,500.314
record_deleted,1.0,0.0,7.0,1.0,0.5,6.5,137.866,53.313,579.368,138.099,92.692,539.770
record_deleted,1.0,0.0,7.0,1.5,0.0,6.5,137.866,53.313,579.368,177.386,53.003,539.912
record_deleted,1.0,0.5,6.5,1.0,1.0,6.0,138.099,92.692,539.770,138.332,132.071,500.172
record_deleted,1.0,0.5,6.5,1.0,1.0,7.0,138.099,92.692,539.770,138.268,132.289,579.150
record_deleted,1.0,0.5,6.5,1.5,0.0,6.5,138.099,92.692,539.770,177.386,53.003,539.912
record_deleted,1.0,0.5,6.5,1.5,0.5,6.0,138.099,92.692,539.770,177.619,92.382,500.314
record_deleted,1.0,0.5,6.5,1.5,0.5,7.0,138.099,92.692,539.770,177.555,92.600,579.292
record_deleted,1.0,0.5,6.5,1.5,1.0,6.5,138.099,92.692,539.770,177.788,131.979,539.694
record_deleted,1.0,1.0,6.0,1.5,0.5,6.0,138.332,132.071,500.172,177.619,92.382,500.314
record_deleted,1.5,0.0,6.5,2.0,0.0,6.0,177.386,53.003,539.912,216.907,52.693,500.456
record_deleted,1.5,0.0,6.5,2.0,0.0,7.0,177.386,53.003,539.912,216.842,52.911,579.434
