z_start,z_stop,ct_voxels,stl_voxels,intersection_voxels,dice
0,32,2665511,476194,338422,0.215438
32,64,345550,792979,318356,0.559241
64,96,301049,789177,274954,0.504398
96,128,266012,703777,237723,0.490257
128,160,298586,791459,270107,0.495589
160,192,271825,769392,237626,0.456439
192,224,268954,728362,230664,0.46257
224,256,281308,792492,242837,0.452295
256,288,244327,731678,201798,0.413518
288,320,270017,764206,227031,0.439037
320,352,276054,788708,229650,0.431364
352,381,1906723,439346,186104,0.158652
