z_start,z_stop,ct_voxels,stl_voxels,intersection_voxels,dice
0,32,2665511,471792,347909,0.221789
32,64,345550,786831,323600,0.571539
64,96,301049,787304,281299,0.516926
96,128,266012,699727,242309,0.501811
128,160,298586,784704,274222,0.506276
160,192,271825,762150,241981,0.46806
192,224,268954,724576,235404,0.473874
224,256,281308,788584,248388,0.464324
256,288,244327,728349,207321,0.42629
288,320,270017,761806,232591,0.450835
320,352,276054,785982,235197,0.442917
352,381,1906723,435532,165354,0.141192
