z_start,z_stop,ct_voxels,stl_voxels,intersection_voxels,dice
0,32,2665511,533497,346760,0.216792
32,64,345550,782891,249935,0.442974
64,96,301049,801349,235717,0.427644
96,128,266012,713374,207960,0.424674
128,160,298586,799056,250215,0.455914
160,192,271825,775760,226974,0.433328
192,224,268954,737137,227275,0.451798
224,256,281308,802978,246597,0.454856
256,288,244327,720043,208003,0.431376
288,320,270017,797468,237715,0.445374
320,352,276054,801587,241941,0.44902
352,381,1906723,477139,249399,0.209239
