model,k,source_class,target_class,source_count,target_count,metric,observed,null_mean,null_95_interval,standardized_effect,one_sided_attraction_p_value,attraction_q_value_bh,one_sided_avoidance_p_value,avoidance_q_value_bh,permutation_count
all_strut_label_permutation,1,unintentional_broken,intentional_missing,13,89,mean_target_neighbor_fraction,0.0,0.004653846153846155,"[0.0,0.07692307692307693]",-0.24690844085132713,1.0,1.0,0.9411058894110589,1.0,10000
all_strut_label_permutation,1,unintentional_broken,intentional_missing,13,89,source_with_target_neighbor_fraction,0.0,0.004653846153846155,"[0.0,0.07692307692307693]",-0.24690844085132713,1.0,1.0,0.9411058894110589,1.0,10000
all_strut_label_permutation,1,unintentional_broken,present,13,14820,mean_target_neighbor_fraction,0.6923076923076923,0.800523076923077,"[0.5384615384615384,1.0]",-0.977625058617654,0.9015098490150985,1.0,0.2512748725127487,0.913686409136864,10000
all_strut_label_permutation,1,unintentional_broken,present,13,14820,source_with_target_neighbor_fraction,0.6923076923076923,0.800523076923077,"[0.5384615384615384,1.0]",-0.977625058617654,0.9015098490150985,1.0,0.2512748725127487,0.913686409136864,10000
all_strut_label_permutation,1,unintentional_broken,review_required,13,677,mean_target_neighbor_fraction,0.07692307692307693,0.03655384615384615,"[0.0,0.15384615384615385]",0.7832094694493559,0.38766123387661233,1.0,0.9235076492350764,1.0,10000
all_strut_label_permutation,1,unintentional_broken,review_required,13,677,source_with_target_neighbor_fraction,0.07692307692307693,0.03655384615384615,"[0.0,0.15384615384615385]",0.7832094694493559,0.38766123387661233,1.0,0.9235076492350764,1.0,10000
all_strut_label_permutation,1,unintentional_broken,uncertain,13,2654,mean_target_neighbor_fraction,0.15384615384615385,0.1453846153846154,"[0.0,0.38461538461538464]",0.08628313523126559,0.5815418458154185,1.0,0.7134286571342866,1.0,10000
all_strut_label_permutation,1,unintentional_broken,uncertain,13,2654,source_with_target_neighbor_fraction,0.15384615384615385,0.1453846153846154,"[0.0,0.38461538461538464]",0.08628313523126559,0.5815418458154185,1.0,0.7134286571342866,1.0,10000
all_strut_label_permutation,1,unintentional_broken,unintentional_broken,13,13,mean_target_neighbor_fraction,0.07692307692307693,0.0007,"[0.0,0.0]",10.211020827395055,0.008999100089991,0.047995200479952004,0.9998000199980002,1.0,10000
all_strut_label_permutation,1,unintentional_broken,unintentional_broken,13,13,source_with_target_neighbor_fraction,0.07692307692307693,0.0007,"[0.0,0.0]",10.211020827395055,0.008999100089991,0.047995200479952004,0.9998000199980002,1.0,10000
all_strut_label_permutation,1,unintentional_broken,unintentional_missing,13,215,mean_target_neighbor_fraction,0.0,0.012184615384615384,"[0.0,0.07692307692307693]",-0.406141242886764,1.0,1.0,0.8507149285071492,1.0,10000
all_strut_label_permutation,1,unintentional_broken,unintentional_missing,13,215,source_with_target_neighbor_fraction,0.0,0.012184615384615384,"[0.0,0.07692307692307693]",-0.406141242886764,1.0,1.0,0.8507149285071492,1.0,10000
all_strut_label_permutation,1,unintentional_missing,intentional_missing,215,89,mean_target_neighbor_fraction,0.004651162790697674,0.004843720930232558,"[0.0,0.018604651162790697]",-0.033508417864649025,0.5489451054894511,1.0,0.7002299770022997,1.0,10000
all_strut_label_permutation,1,unintentional_missing,intentional_missing,215,89,source_with_target_neighbor_fraction,0.004651162790697674,0.004843720930232558,"[0.0,0.018604651162790697]",-0.033508417864649025,0.5489451054894511,1.0,0.7002299770022997,1.0,10000
all_strut_label_permutation,1,unintentional_missing,present,215,14820,mean_target_neighbor_fraction,0.8418604651162791,0.802400465116279,"[0.7395348837209302,0.8651162790697674]",1.211768842031619,0.1262873712628737,0.41805474624951294,0.9035096490350965,1.0,10000
all_strut_label_permutation,1,unintentional_missing,present,215,14820,source_with_target_neighbor_fraction,0.8418604651162791,0.802400465116279,"[0.7395348837209302,0.8651162790697674]",1.211768842031619,0.1262873712628737,0.41805474624951294,0.9035096490350965,1.0,10000
all_strut_label_permutation,1,unintentional_missing,review_required,215,677,mean_target_neighbor_fraction,0.009302325581395349,0.036707441860465116,"[0.009302325581395349,0.06976744186046512]",-1.786382563969315,0.9898010198980102,1.0,0.0321967803219678,0.22077792220777923,10000
all_strut_label_permutation,1,unintentional_missing,review_required,215,677,source_with_target_neighbor_fraction,0.009302325581395349,0.036707441860465116,"[0.009302325581395349,0.06976744186046512]",-1.786382563969315,0.9898010198980102,1.0,0.0321967803219678,0.22077792220777923,10000
all_strut_label_permutation,1,unintentional_missing,uncertain,215,2654,mean_target_neighbor_fraction,0.11627906976744186,0.1437279069767442,"[0.08837209302325581,0.20465116279069767]",-0.9502962151745216,0.8491150884911509,1.0,0.19268073192680732,0.8407886484078865,10000
all_strut_label_permutation,1,unintentional_missing,uncertain,215,2654,source_with_target_neighbor_fraction,0.11627906976744186,0.1437279069767442,"[0.08837209302325581,0.20465116279069767]",-0.9502962151745216,0.8491150884911509,1.0,0.19268073192680732,0.8407886484078865,10000
all_strut_label_permutation,1,unintentional_missing,unintentional_broken,215,13,mean_target_neighbor_fraction,0.013953488372093023,0.0006665116279069768,"[0.0,0.009302325581395349]",6.294595192413872,0.0033996600339966003,0.027197280271972806,0.9997000299970003,1.0,10000
all_strut_label_permutation,1,unintentional_missing,unintentional_broken,215,13,source_with_target_neighbor_fraction,0.013953488372093023,0.0006665116279069768,"[0.0,0.009302325581395349]",6.294595192413872,0.0033996600339966003,0.027197280271972806,0.9997000299970003,1.0,10000
all_strut_label_permutation,1,unintentional_missing,unintentional_missing,215,215,mean_target_neighbor_fraction,0.013953488372093023,0.011653953488372093,"[0.0,0.03255813953488372]",0.26072494940453617,0.44025597440255976,1.0,0.7316268373162683,1.0,10000
all_strut_label_permutation,1,unintentional_missing,unintentional_missing,215,215,source_with_target_neighbor_fraction,0.013953488372093023,0.011653953488372093,"[0.0,0.03255813953488372]",0.26072494940453617,0.44025597440255976,1.0,0.7316268373162683,1.0,10000
all_strut_label_permutation,3,unintentional_broken,intentional_missing,13,89,mean_target_neighbor_fraction,0.0,0.004805128205128205,"[0.0,0.02564102564102564]",-0.42063930800207794,1.0,1.0,0.833916608339166,1.0,10000
all_strut_label_permutation,3,unintentional_broken,intentional_missing,13,89,source_with_target_neighbor_fraction,0.0,0.01430769230769231,"[0.0,0.07692307692307693]",-0.4227229057776621,1.0,1.0,0.833916608339166,1.0,10000
all_strut_label_permutation,3,unintentional_broken,present,13,14820,mean_target_neighbor_fraction,0.7179487179487178,0.8022435897435897,"[0.6666666666666666,0.9230769230769229]",-1.3015292511526042,0.9301069893010699,1.0,0.10308969103089691,0.4948305169483051,10000
all_strut_label_permutation,3,unintentional_broken,present,13,14820,source_with_target_neighbor_fraction,1.0,0.992523076923077,"[0.9230769230769231,1.0]",0.31184589713115723,0.9074092590740926,1.0,1.0,1.0,10000
all_strut_label_permutation,3,unintentional_broken,review_required,13,677,mean_target_neighbor_fraction,0.02564102564102564,0.036269230769230776,"[0.0,0.10256410256410256]",-0.3505807571696622,0.7578242175782421,1.0,0.5875412458754125,1.0,10000
all_strut_label_permutation,3,unintentional_broken,review_required,13,677,source_with_target_neighbor_fraction,0.07692307692307693,0.10479230769230771,"[0.0,0.3076923076923077]",-0.32394231206031215,0.7578242175782421,1.0,0.6018398160183982,1.0,10000
all_strut_label_permutation,3,unintentional_broken,uncertain,13,2654,mean_target_neighbor_fraction,0.15384615384615383,0.14392820512820512,"[0.05128205128205128,0.25641025641025644]",0.1722194983633952,0.49545045495450457,1.0,0.6405359464053595,1.0,10000
all_strut_label_permutation,3,unintentional_broken,uncertain,13,2654,source_with_target_neighbor_fraction,0.38461538461538464,0.3729,"[0.15384615384615385,0.6153846153846154]",0.08552530113127094,0.5657434256574343,1.0,0.6559344065593441,1.0,10000
all_strut_label_permutation,3,unintentional_broken,unintentional_broken,13,13,mean_target_neighbor_fraction,0.02564102564102564,0.0007564102564102564,"[0.0,0.02564102564102564]",5.509426599172674,0.028397160283971604,0.11358864113588642,0.9988001199880012,1.0,10000
all_strut_label_permutation,3,unintentional_broken,unintentional_broken,13,13,source_with_target_neighbor_fraction,0.07692307692307693,0.0022692307692307695,"[0.0,0.07692307692307693]",5.509426599172673,0.028397160283971604,0.11358864113588642,0.9988001199880012,1.0,10000
all_strut_label_permutation,3,unintentional_broken,unintentional_missing,13,215,mean_target_neighbor_fraction,0.07692307692307693,0.011997435897435897,"[0.0,0.05128205128205128]",3.633750572170335,0.015498450154984501,0.07439256074392561,0.9978002199780022,1.0,10000
all_strut_label_permutation,3,unintentional_broken,unintentional_missing,13,215,source_with_target_neighbor_fraction,0.23076923076923078,0.03561538461538462,"[0.0,0.15384615384615385]",3.702048370555661,0.014298570142985701,0.07224540703824354,0.9985001499850015,1.0,10000
all_strut_label_permutation,3,unintentional_missing,intentional_missing,215,89,mean_target_neighbor_fraction,0.004651162790697674,0.004822790697674419,"[0.0,0.012403100775193798]",-0.049147867757119414,0.5500449955004499,1.0,0.6149385061493851,1.0,10000
all_strut_label_permutation,3,unintentional_missing,intentional_missing,215,89,source_with_target_neighbor_fraction,0.013953488372093023,0.014394418604651162,"[0.0,0.037209302325581395]",-0.04246805087840474,0.5487451254874512,1.0,0.6166383361663834,1.0,10000
all_strut_label_permutation,3,unintentional_missing,present,215,14820,mean_target_neighbor_fraction,0.8744186046511628,0.8025373643410852,"[0.7627906976744186,0.8418604651162791]",3.563656827713558,0.00019998000199980003,0.002742582884568686,0.9999000099990001,1.0,10000
