edge_id,source_strut_id,source_class,k,neighbor_edge_ids,neighbor_categories,neighbor_distances_mm,present_neighbor_count,unintentional_missing_neighbor_count,unintentional_broken_neighbor_count,intentional_missing_neighbor_count,resolved_neighbor_count,unresolved_neighbor_count
E_N000251_N000361,651,unintentional_broken,1,"[""E_N000226_N000251""]","[""""]",[1.6122034611053275],0,0,0,0,0,1
E_N000251_N000361,651,unintentional_broken,3,"[""E_N000226_N000251"",""E_N000231_N000251"",""E_N000226_N000361""]","["""",""present"",""""]","[1.6122034611053275,1.6122034611053275,1.6122034611053286]",1,0,0,0,1,2
E_N000251_N000361,651,unintentional_broken,5,"[""E_N000226_N000251"",""E_N000231_N000251"",""E_N000226_N000361"",""E_N000251_N000373"",""E_N000361_N000373""]","["""",""present"","""","""",""present""]","[1.6122034611053275,1.6122034611053275,1.6122034611053286,1.6122034611053286,1.6122034611053286]",2,0,0,0,2,3
E_N000251_N000361,651,unintentional_broken,10,"[""E_N000226_N000251"",""E_N000231_N000251"",""E_N000226_N000361"",""E_N000251_N000373"",""E_N000361_N000373"",""E_N000231_N000361"",""E_N000251_N000372"",""E_N000361_N000372"",""E_N000235_N000251"",""E_N000226_N000373""]","["""",""present"","""","""",""present"","""","""","""","""",""present""]","[1.6122034611053275,1.6122034611053275,1.6122034611053286,1.6122034611053286,1.6122034611053286,1.6122034611053289,1.6122034611053289,1.6122034611053289,2.2799999999999985,2.28]",3,0,0,0,3,7
E_N000358_N001495,2640,unintentional_broken,1,"[""E_N000231_N000358""]","[""""]",[1.6122034611053286],0,0,0,0,0,1
E_N000358_N001495,2640,unintentional_broken,3,"[""E_N000231_N000358"",""E_N000357_N000358"",""E_N000231_N001495""]","["""",""present"",""""]","[1.6122034611053286,1.6122034611053286,1.612203461105329]",1,0,0,0,1,2
E_N000358_N001495,2640,unintentional_broken,5,"[""E_N000231_N000358"",""E_N000357_N000358"",""E_N000231_N001495"",""E_N000357_N001495"",""E_N000358_N001371""]","["""",""present"","""",""present"",""present""]","[1.6122034611053286,1.6122034611053286,1.612203461105329,1.612203461105329,1.612203461105329]",3,0,0,0,3,2
E_N000358_N001495,2640,unintentional_broken,10,"[""E_N000231_N000358"",""E_N000357_N000358"",""E_N000231_N001495"",""E_N000357_N001495"",""E_N000358_N001371"",""E_N000358_N001497"",""E_N001371_N001495"",""E_N001495_N001497"",""E_N000231_N001371"",""E_N000358_N000361""]","["""",""present"","""",""present"",""present"","""",""present"","""","""",""present""]","[1.6122034611053286,1.6122034611053286,1.612203461105329,1.612203461105329,1.612203461105329,1.612203461105329,1.612203461105329,1.612203461105329,2.2799999999999994,2.2799999999999994]",5,0,0,0,5,5
E_N000361_N000363,625,unintentional_broken,1,"[""E_N000352_N000361""]","[""present""]",[1.6122034611053286],1,0,0,0,1,0
E_N000361_N000363,625,unintentional_broken,3,"[""E_N000352_N000361"",""E_N000352_N000363"",""E_N000359_N000361""]","[""present"",""present"",""""]","[1.6122034611053286,1.6122034611053286,1.6122034611053286]",2,0,0,0,2,1
