dimension,level,analysis_class,candidate_count,eligible_strut_count,candidate_percentage,overall_class_percentage,enrichment_ratio,p_value,q_value_bh,inference_status
region,corner,missing,9,285,3.1578947368421053,1.1698133739594103,2.699485924112607,0.006529701776348008,0.006529701776348008,inferential
region,edge,missing,67,2632,2.545592705167173,1.1698133739594103,2.176067364105464,2.157856845761611e-10,2.877142461015481e-10,inferential
region,face,missing,139,7855,1.769573520050923,1.1698133739594103,1.5126972895356239,9.376946597389084e-11,1.8753893194778167e-10,inferential
region,interior,missing,0,7607,0.0,1.1698133739594103,0.0,6.681447636688386e-51,2.6725790546753542e-50,inferential
region,corner,broken,0,285,0.0,0.07073290168126667,0.0,1.0,1.0,inferential
region,edge,broken,3,2632,0.11398176291793312,0.07073290168126667,1.6114390928220714,0.4163385149228159,0.5583486983621851,inferential
region,face,broken,7,7855,0.08911521323997454,0.07073290168126667,1.2598834647211477,0.4187615237716389,0.5583486983621851,inferential
region,interior,broken,3,7607,0.03943736032601551,0.07073290168126667,0.5575532657167993,0.26117379267857266,0.5583486983621851,inferential
region,corner,thin,0,285,0.0,0.0,,,,descriptive_only_n_lt_5
region,edge,thin,0,2632,0.0,0.0,,,,descriptive_only_n_lt_5
region,face,thin,0,7855,0.0,0.0,,,,descriptive_only_n_lt_5
region,interior,thin,0,7607,0.0,0.0,,,,descriptive_only_n_lt_5
region,corner,review_required,36,285,12.631578947368421,3.683551879862887,3.4291844826245823,1.093974986865295e-10,1.4586333158203935e-10,inferential
region,edge,review_required,224,2632,8.51063829787234,3.683551879862887,2.3104434457399665,1.8542827363149238e-36,3.7085654726298475e-36,inferential
region,face,review_required,349,7855,4.443029917250159,3.683551879862887,1.2061808988056228,2.855742853367204e-06,2.855742853367204e-06,inferential
region,interior,review_required,68,7607,0.8939135007230182,3.683551879862887,0.24267704918446606,1.6652959611669805e-75,6.661183844667922e-75,inferential
region,corner,low_priority_uncertain,115,285,40.35087719298245,14.44039392785244,2.7943058475125264,3.8606129358779214e-27,3.8606129358779214e-27,inferential
region,edge,low_priority_uncertain,733,2632,27.84954407294833,14.44039392785244,1.9285861737630645,4.076415837832421e-85,8.152831675664842e-85,inferential
region,face,low_priority_uncertain,1461,7855,18.599618077657542,14.44039392785244,1.2880270559505198,4.1984368795426645e-43,5.5979158393902196e-43,inferential
region,interior,low_priority_uncertain,345,7607,4.535296437491784,14.44039392785244,0.3140701327229144,1.2980210466777084e-256,5.1920841867108334e-256,inferential
orientation_family,XY,missing,7,6130,0.11419249592169657,1.1698133739594103,0.09761599453697029,3.7687583440574464e-28,3.7687583440574464e-28,inferential
orientation_family,XZ,missing,202,6126,3.297420829252367,1.1698133739594103,2.8187580195734534,6.248343795746662e-80,1.8745031387239985e-79,inferential
orientation_family,YZ,missing,6,6123,0.09799118079372857,1.1698133739594103,0.08376650752595056,2.2750454941203668e-29,3.41256824118055e-29,inferential
orientation_family,XY,broken,3,6130,0.04893964110929853,0.07073290168126667,0.691893587652152,0.5635350651259933,0.7703040512976655,inferential
orientation_family,XZ,broken,5,6126,0.08161932745674175,0.07073290168126667,1.1539089379441974,0.7703040512976655,0.7703040512976655,inferential
orientation_family,YZ,broken,5,6123,0.08165931732810713,0.07073290168126667,1.1544743024409854,0.7702479600353824,0.7703040512976655,inferential
orientation_family,XY,thin,0,6130,0.0,0.0,,,,descriptive_only_n_lt_5
orientation_family,XZ,thin,0,6126,0.0,0.0,,,,descriptive_only_n_lt_5
orientation_family,YZ,thin,0,6123,0.0,0.0,,,,descriptive_only_n_lt_5
orientation_family,XY,review_required,161,6130,2.626427406199021,3.683551879862887,0.7130149083978111,3.773279476148883e-08,5.659919214223325e-08,inferential
orientation_family,XZ,review_required,303,6126,4.9461312438785505,3.683551879862887,1.3427613904171916,3.817683906282648e-10,1.1453051718847943e-09,inferential
orientation_family,YZ,review_required,213,6123,3.478686918177364,3.683551879862887,0.9443838533114,0.3187321987859397,0.3187321987859397,inferential
orientation_family,XY,low_priority_uncertain,1090,6130,17.781402936378466,14.44039392785244,1.231365503269404,2.52882757555252e-19,7.586482726657561e-19,inferential
orientation_family,XZ,low_priority_uncertain,840,6126,13.712047012732615,14.44039392785244,0.9495618389111256,0.04759611806183909,0.04759611806183909,inferential
orientation_family,YZ,low_priority_uncertain,724,6123,11.824269149109913,14.44039392785244,0.8188328662075776,5.131535152007468e-13,7.697302728011202e-13,inferential
orientation_direction,XY:++,missing,2,3066,0.06523157208088715,1.1698133739594103,0.05576237503602906,1.6521979908828602e-14,2.47829698632429e-14,inferential
orientation_direction,XY:+-,missing,5,3064,0.1631853785900783,1.1698133739594103,0.139496933632886,1.7637521389904872e-11,1.7637521389904872e-11,inferential
orientation_direction,XZ:++,missing,98,3062,3.200522534291313,1.1698133739594103,2.7359257515227924,2.1997664374923835e-23,6.599299312477151e-23,inferential
orientation_direction,XZ:+-,missing,104,3064,3.3942558746736298,1.1698133739594103,2.9015362195640297,2.5355675935906745e-27,1.5213405561544046e-26,inferential
orientation_direction,YZ:++,missing,4,3064,0.13054830287206268,1.1698133739594103,0.11159754690630883,2.028131970236285e-12,2.433758364283542e-12,inferential
orientation_direction,YZ:+-,missing,2,3059,0.06538084341288003,1.1698133739594103,0.0558899777248987,1.6026117604235013e-14,2.47829698632429e-14,inferential
orientation_direction,XY:++,broken,1,3066,0.03261578604044357,0.07073290168126667,0.46111194741331724,0.7083518265724846,1.0,inferential
orientation_direction,XY:+-,broken,2,3064,0.06527415143603134,0.07073290168126667,0.9228258686483229,1.0,1.0,inferential
orientation_direction,XZ:++,broken,3,3062,0.09797517962116264,0.07073290168126667,1.3851429432748832,0.4651553993290278,1.0,inferential
orientation_direction,XZ:+-,broken,2,3064,0.06527415143603134,0.07073290168126667,0.9228258686483229,1.0,1.0,inferential
orientation_direction,YZ:++,broken,1,3064,0.03263707571801567,0.07073290168126667,0.46141293432416147,0.708313386816773,1.0,inferential
orientation_direction,YZ:+-,broken,4,3059,0.13076168682576006,0.07073290168126667,1.8486684939774185,0.2511416414105342,1.0,inferential
orientation_direction,XY:++,thin,0,3066,0.0,0.0,,,,descriptive_only_n_lt_5
orientation_direction,XY:+-,thin,0,3064,0.0,0.0,,,,descriptive_only_n_lt_5
orientation_direction,XZ:++,thin,0,3062,0.0,0.0,,,,descriptive_only_n_lt_5
orientation_direction,XZ:+-,thin,0,3064,0.0,0.0,,,,descriptive_only_n_lt_5
orientation_direction,YZ:++,thin,0,3064,0.0,0.0,,,,descriptive_only_n_lt_5
orientation_direction,YZ:+-,thin,0,3059,0.0,0.0,,,,descriptive_only_n_lt_5
orientation_direction,XY:++,review_required,17,3066,0.5544683626875407,3.683551879862887,0.15052546584688792,2.9443478840007927e-33,1.7666087304004756e-32,inferential
orientation_direction,XY:+-,review_required,144,3064,4.699738903394255,3.683551879862887,1.2758715111592767,0.0015853233247852252,0.0019023879897422703,inferential
orientation_direction,XZ:++,review_required,218,3062,7.119529719137818,3.683551879862887,1.9327893162191132,3.966374881784843e-24,1.1899124645354527e-23,inferential
orientation_direction,XZ:+-,review_required,85,3064,2.7741514360313317,3.683551879862887,0.753118600337073,0.003204853992769195,0.003204853992769195,inferential
orientation_direction,YZ:++,review_required,183,3064,5.972584856396867,3.683551879862887,1.6214200454315808,5.414661562020336e-12,8.121992343030504e-12,inferential
orientation_direction,YZ:+-,review_required,30,3059,0.9807126511932003,3.683551879862887,0.2662410312596725,3.379170613613394e-23,6.758341227226789e-23,inferential
orientation_direction,XY:++,low_priority_uncertain,478,3066,15.590345727332029,14.44039392785244,1.0796343787589877,0.04881493194807288,0.05857791833768746,inferential
orientation_direction,XY:+-,low_priority_uncertain,612,3064,19.973890339425587,14.44039392785244,1.3831956689838087,3.2042232404597424e-20,1.9225339442758455e-19,inferential
orientation_direction,XZ:++,low_priority_uncertain,445,3062,14.532984977139124,14.44039392785244,1.006411947606782,0.8658685889766486,0.8658685889766486,inferential
orientation_direction,XZ:+-,low_priority_uncertain,395,3064,12.891644908616188,14.44039392785244,0.8927488386415106,0.007468999707152883,0.011203499560729325,inferential
orientation_direction,YZ:++,low_priority_uncertain,359,3064,11.716710182767624,14.44039392785244,0.811384387524816,1.6722648862860256e-06,5.016794658858077e-06,inferential
orientation_direction,YZ:+-,low_priority_uncertain,365,3059,11.932003922850605,14.44039392785244,0.8262935195857998,1.0970012277034427e-05,2.1940024554068854e-05,inferential
build_cell_index,0,missing,3,2004,0.14970059880239522,1.1698133739594103,0.12796964211112657,1.0813801140552398e-07,1.2165526283121449e-07,inferential
build_cell_index,1,missing,2,2010,0.09950248756218905,1.1698133739594103,0.08505842878630104,8.206768775609805e-09,1.0551559854355462e-08,inferential
build_cell_index,2,missing,4,2006,0.19940179461615154,1.1698133739594103,0.17045607363954646,7.307517600571175e-07,7.307517600571175e-07,inferential
build_cell_index,3,missing,0,2010,0.0,1.1698133739594103,0.0,2.5994616061242492e-11,4.714020459894526e-11,inferential
build_cell_index,4,missing,0,2012,0.0,1.1698133739594103,0.0,2.618900255496959e-11,4.714020459894526e-11,inferential
build_cell_index,5,missing,0,2004,0.0,1.1698133739594103,0.0,2.5588716185210832e-11,4.714020459894526e-11,inferential
build_cell_index,6,missing,0,2011,0.0,1.1698133739594103,0.0,2.6088038638687993e-11,4.714020459894526e-11,inferential
build_cell_index,7,missing,1,2004,0.049900199600798396,1.1698133739594103,0.042656547370375525,7.292647566386688e-10,1.0938971349580033e-09,inferential
build_cell_index,8,missing,205,2318,8.843830888697154,1.1698133739594103,7.56003571643558,1.8122098930048466e-172,1.630988903704362e-171,inferential
build_cell_index,0,broken,6,2004,0.29940119760479045,0.07073290168126667,4.232842008291111,0.001450917612379012,0.013058258511411108,inferential
build_cell_index,1,broken,0,2010,0.0,0.07073290168126667,0.0,0.3847034964091881,0.49462944811486825,inferential
build_cell_index,2,broken,3,2006,0.14955134596211367,0.07073290168126667,2.1143109134136053,0.16224560979237238,0.49462944811486825,inferential
build_cell_index,3,broken,0,2010,0.0,0.07073290168126667,0.0,0.3847034964091881,0.49462944811486825,inferential
build_cell_index,4,broken,0,2012,0.0,0.07073290168126667,0.0,0.38470230555192436,0.49462944811486825,inferential
build_cell_index,5,broken,0,2004,0.0,0.07073290168126667,0.0,0.3847117929782309,0.49462944811486825,inferential
build_cell_index,6,broken,0,2011,0.0,0.07073290168126667,0.0,0.38470280274411384,0.49462944811486825,inferential
build_cell_index,7,broken,2,2004,0.09980039920159679,0.07073290168126667,1.4109473360970366,0.6452478253927056,0.6747615940065805,inferential
build_cell_index,8,broken,2,2318,0.08628127696289906,0.07073290168126667,1.2198181456162476,0.6747615940065805,0.6747615940065805,inferential
build_cell_index,0,thin,0,2004,0.0,0.0,,,,descriptive_only_n_lt_5
build_cell_index,1,thin,0,2010,0.0,0.0,,,,descriptive_only_n_lt_5
build_cell_index,2,thin,0,2006,0.0,0.0,,,,descriptive_only_n_lt_5
build_cell_index,3,thin,0,2010,0.0,0.0,,,,descriptive_only_n_lt_5
build_cell_index,4,thin,0,2012,0.0,0.0,,,,descriptive_only_n_lt_5
build_cell_index,5,thin,0,2004,0.0,0.0,,,,descriptive_only_n_lt_5
build_cell_index,6,thin,0,2011,0.0,0.0,,,,descriptive_only_n_lt_5
build_cell_index,7,thin,0,2004,0.0,0.0,,,,descriptive_only_n_lt_5
build_cell_index,8,thin,0,2318,0.0,0.0,,,,descriptive_only_n_lt_5
build_cell_index,0,review_required,22,2004,1.097804391217565,3.683551879862887,0.2980287578461983,1.387837639449989e-13,6.245269377524951e-13,inferential
build_cell_index,1,review_required,53,2010,2.6368159203980097,3.683551879862887,0.7158351521564996,0.006929422007585147,0.02078826602275544,inferential
build_cell_index,2,review_required,71,2006,3.53938185443669,3.683551879862887,0.9608611388876208,0.7538032727611146,0.7538032727611146,inferential
build_cell_index,3,review_required,57,2010,2.8358208955223883,3.683551879862887,0.769860446658877,0.03271470347133387,0.07360808281050121,inferential
build_cell_index,4,review_required,68,2012,3.3797216699801194,3.683551879862887,0.917517054247631,0.4901388627888337,0.6301785378713577,inferential
build_cell_index,5,review_required,83,2004,4.141716566866267,3.683551879862887,1.1243812227833845,0.2577723517423823,0.38665852761357344,inferential
build_cell_index,6,review_required,77,2011,3.82894082545997,3.683551879862887,1.0394697700314444,0.7066098999635861,0.7538032727611146,inferential
build_cell_index,7,review_required,64,2004,3.1936127744510974,3.683551879862887,0.8669927500980313,0.23271573776920662,0.38665852761357344,inferential
build_cell_index,8,review_required,182,2318,7.851596203623814,3.683551879862887,2.1315286060029845,2.370065150700173e-24,2.133058635630156e-23,inferential
build_cell_index,0,low_priority_uncertain,275,2004,13.722554890219559,14.44039392785244,0.9502895114067268,0.3459310487687863,0.6226758877838152,inferential
build_cell_index,1,low_priority_uncertain,274,2010,13.631840796019901,14.44039392785244,0.9440075432933299,0.28211879136486606,0.6226758877838152,inferential
build_cell_index,2,low_priority_uncertain,296,2006,14.755732801595215,14.44039392785244,1.021837276414915,0.6618887279454095,0.7368415004056863,inferential
build_cell_index,3,low_priority_uncertain,302,2010,15.024875621890546,14.44039392785244,1.0404754674254948,0.4393201566599747,0.625909994273313,inferential
build_cell_index,4,low_priority_uncertain,285,2012,14.165009940357853,14.44039392785244,0.9809296069850677,0.7368415004056863,0.7368415004056863,inferential
build_cell_index,5,low_priority_uncertain,305,2004,15.219560878243513,14.44039392785244,1.0539574581056426,0.2966544796178246,0.6226758877838152,inferential
build_cell_index,6,low_priority_uncertain,305,2011,15.16658378915962,14.44039392785244,1.050288784705971,0.3296581141153595,0.6226758877838152,inferential
build_cell_index,7,low_priority_uncertain,266,2004,13.273453093812376,14.44039392785244,0.9191891273970522,0.12142647338200302,0.6226758877838152,inferential
build_cell_index,8,low_priority_uncertain,346,2318,14.926660914581536,14.44039392785244,1.0336740804411984,0.48681888443479904,0.625909994273313,inferential
center_core,center_core,missing,0,752,0.0,1.1698133739594103,0.0,0.0001941029466261926,0.0001941029466261926,inferential
center_core,outside_center_core,missing,215,17627,1.2197197481136892,1.1698133739594103,1.0426618256084417,0.0001941029466261926,0.0001941029466261926,inferential
center_core,center_core,broken,0,752,0.0,0.07073290168126667,0.0,1.0,1.0,inferential
center_core,outside_center_core,broken,13,17627,0.0737504963975719,0.07073290168126667,1.0426618256084417,1.0,1.0,inferential
center_core,center_core,thin,0,752,0.0,0.0,,,,descriptive_only_n_lt_5
center_core,outside_center_core,thin,0,17627,0.0,0.0,,,,descriptive_only_n_lt_5
center_core,center_core,review_required,4,752,0.5319148936170213,3.683551879862887,0.1444027153587479,2.66090745352552e-08,2.66090745352552e-08,inferential
center_core,outside_center_core,review_required,673,17627,3.8180064673512226,3.683551879862887,1.0365013421484213,2.66090745352552e-08,2.66090745352552e-08,inferential
center_core,center_core,low_priority_uncertain,17,752,2.2606382978723407,14.44039392785244,0.15654962802033062,4.347014110743539e-31,4.347014110743539e-31,inferential
center_core,outside_center_core,low_priority_uncertain,2637,17627,14.960004538492086,14.44039392785244,1.0359831326787718,4.347014110743539e-31,4.347014110743539e-31,inferential
