group,method,parameter,cluster_id,size,member_edge_ids
intentional,dbscan,eps_mm=2.28,D0001,2,E_N002541_N002671|E_N002671_N002682
intentional,dbscan,eps_mm=2.28,D0002,12,E_N005509_N005510|E_N005509_N005513|E_N005509_N005515|E_N005509_N005524|E_N005509_N005529|E_N005509_N005636|E_N005509_N005639|E_N005509_N005650|E_N005509_N006647|E_N005509_N006649|E_N005509_N006663|E_N005509_N006773
intentional,dbscan,eps_mm=2.28,D0003,11,E_N006559_N006560|E_N006559_N006563|E_N006559_N006565|E_N006559_N006574|E_N006559_N006579|E_N006559_N006686|E_N006559_N006689|E_N006559_N006700|E_N006559_N007699|E_N006559_N007713|E_N006559_N007823
intentional,dbscan,eps_mm=2.28,D0004,2,E_N006910_N006915|E_N006913_N006915
intentional,dbscan,eps_mm=2.28,D0005,2,E_N006910_N008047|E_N008047_N008049
intentional,dbscan,eps_mm=2.28,D0006,3,E_N006979_N006985|E_N006979_N007106|E_N006979_N007109
intentional,dbscan,eps_mm=2.28,D0007,2,E_N008659_N008663|E_N008659_N008674
intentional,dbscan,eps_mm=4.56,D0001,2,E_N000147_N001285|E_N000162_N001175
intentional,dbscan,eps_mm=4.56,D0002,2,E_N002505_N002626|E_N003749_N003765
intentional,dbscan,eps_mm=4.56,D0003,2,E_N002541_N002671|E_N002671_N002682
intentional,dbscan,eps_mm=4.56,D0004,2,E_N005481_N006745|E_N006615_N006621
intentional,dbscan,eps_mm=4.56,D0005,12,E_N005509_N005510|E_N005509_N005513|E_N005509_N005515|E_N005509_N005524|E_N005509_N005529|E_N005509_N005636|E_N005509_N005639|E_N005509_N005650|E_N005509_N006647|E_N005509_N006649|E_N005509_N006663|E_N005509_N006773
intentional,dbscan,eps_mm=4.56,D0006,5,E_N005761_N007025|E_N006910_N006915|E_N006910_N008047|E_N006913_N006915|E_N008047_N008049
intentional,dbscan,eps_mm=4.56,D0007,11,E_N006559_N006560|E_N006559_N006563|E_N006559_N006565|E_N006559_N006574|E_N006559_N006579|E_N006559_N006686|E_N006559_N006689|E_N006559_N006700|E_N006559_N007699|E_N006559_N007713|E_N006559_N007823
intentional,dbscan,eps_mm=4.56,D0008,4,E_N006979_N006985|E_N006979_N007106|E_N006979_N007109|E_N007106_N008229
intentional,dbscan,eps_mm=4.56,D0009,2,E_N007445_N007456|E_N007571_N007582
intentional,dbscan,eps_mm=4.56,D0010,3,E_N008659_N008663|E_N008659_N008674|E_N008786_N009799
intentional,dbscan,eps_mm=4.56,D0011,2,E_N008845_N008856|E_N008855_N008861
intentional,dbscan,eps_mm=6.84,D0001,2,E_N000005_N000012|E_N001147_N001270
intentional,dbscan,eps_mm=6.84,D0002,2,E_N000147_N001285|E_N000162_N001175
intentional,dbscan,eps_mm=6.84,D0003,2,E_N001394_N002533|E_N001646_N002659
intentional,dbscan,eps_mm=6.84,D0004,3,E_N001814_N002827|E_N002919_N004183|E_N002933_N004071
intentional,dbscan,eps_mm=6.84,D0005,2,E_N002304_N002308|E_N003437_N003438
intentional,dbscan,eps_mm=6.84,D0006,2,E_N002505_N002626|E_N003749_N003765
intentional,dbscan,eps_mm=6.84,D0007,2,E_N002541_N002671|E_N002671_N002682
intentional,dbscan,eps_mm=6.84,D0008,3,E_N004096_N005219|E_N004110_N005123|E_N005137_N005258
intentional,dbscan,eps_mm=6.84,D0009,15,E_N004487_N005627|E_N005481_N006745|E_N005509_N005510|E_N005509_N005513|E_N005509_N005515|E_N005509_N005524|E_N005509_N005529|E_N005509_N005636|E_N005509_N005639|E_N005509_N005650|E_N005509_N006647|E_N005509_N006649|E_N005509_N006663|E_N005509_N006773|E_N006615_N006621
intentional,dbscan,eps_mm=6.84,D0010,7,E_N005761_N007025|E_N005790_N005795|E_N006013_N007151|E_N006910_N006915|E_N006910_N008047|E_N006913_N006915|E_N008047_N008049
intentional,dbscan,eps_mm=6.84,D0011,13,E_N006559_N006560|E_N006559_N006563|E_N006559_N006565|E_N006559_N006574|E_N006559_N006579|E_N006559_N006686|E_N006559_N006689|E_N006559_N006700|E_N006559_N007699|E_N006559_N007713|E_N006559_N007823|E_N007445_N007456|E_N007571_N007582
intentional,dbscan,eps_mm=6.84,D0012,4,E_N006979_N006985|E_N006979_N007106|E_N006979_N007109|E_N007106_N008229
intentional,dbscan,eps_mm=6.84,D0013,4,E_N007665_N008803|E_N008659_N008663|E_N008659_N008674|E_N008786_N009799
intentional,dbscan,eps_mm=6.84,D0014,2,E_N008845_N008856|E_N008855_N008861
intentional,graph_shared_junction,shared_node,G0001,1,E_N000005_N000012
intentional,graph_shared_junction,shared_node,G0002,1,E_N000120_N000123
intentional,graph_shared_junction,shared_node,G0003,1,E_N000147_N001285
intentional,graph_shared_junction,shared_node,G0004,1,E_N000162_N001175
intentional,graph_shared_junction,shared_node,G0005,1,E_N000189_N000204
intentional,graph_shared_junction,shared_node,G0006,1,E_N000540_N000543
intentional,graph_shared_junction,shared_node,G0007,1,E_N000739_N000755
intentional,graph_shared_junction,shared_node,G0008,1,E_N000867_N000991
intentional,graph_shared_junction,shared_node,G0009,1,E_N000945_N000949
intentional,graph_shared_junction,shared_node,G0010,1,E_N001147_N001270
intentional,graph_shared_junction,shared_node,G0011,1,E_N001394_N002533
intentional,graph_shared_junction,shared_node,G0012,1,E_N001646_N002659
intentional,graph_shared_junction,shared_node,G0013,1,E_N001721_N001845
intentional,graph_shared_junction,shared_node,G0014,1,E_N001814_N002827
intentional,graph_shared_junction,shared_node,G0015,1,E_N001925_N002052
intentional,graph_shared_junction,shared_node,G0016,1,E_N002149_N002164
intentional,graph_shared_junction,shared_node,G0017,1,E_N002304_N002308
intentional,graph_shared_junction,shared_node,G0018,1,E_N002505_N002626
intentional,graph_shared_junction,shared_node,G0019,2,E_N002541_N002671|E_N002671_N002682
intentional,graph_shared_junction,shared_node,G0020,1,E_N002723_N002743
intentional,graph_shared_junction,shared_node,G0021,1,E_N002919_N004183
intentional,graph_shared_junction,shared_node,G0022,1,E_N002933_N004071
intentional,graph_shared_junction,shared_node,G0023,1,E_N003437_N003438
intentional,graph_shared_junction,shared_node,G0024,1,E_N003508_N003511
intentional,graph_shared_junction,shared_node,G0025,1,E_N003749_N003765
intentional,graph_shared_junction,shared_node,G0026,1,E_N003802_N004939
intentional,graph_shared_junction,shared_node,G0027,1,E_N003829_N003844
intentional,graph_shared_junction,shared_node,G0028,1,E_N004096_N005219
intentional,graph_shared_junction,shared_node,G0029,1,E_N004110_N005123
intentional,graph_shared_junction,shared_node,G0030,1,E_N004348_N004353
intentional,graph_shared_junction,shared_node,G0031,1,E_N004487_N005627
intentional,graph_shared_junction,shared_node,G0032,1,E_N004743_N004759
intentional,graph_shared_junction,shared_node,G0033,1,E_N005137_N005258
intentional,graph_shared_junction,shared_node,G0034,1,E_N005415_N005417
intentional,graph_shared_junction,shared_node,G0035,1,E_N005481_N006745
intentional,graph_shared_junction,shared_node,G0036,12,E_N005509_N005510|E_N005509_N005513|E_N005509_N005515|E_N005509_N005524|E_N005509_N005529|E_N005509_N005636|E_N005509_N005639|E_N005509_N005650|E_N005509_N006647|E_N005509_N006649|E_N005509_N006663|E_N005509_N006773
intentional,graph_shared_junction,shared_node,G0037,1,E_N005761_N007025
intentional,graph_shared_junction,shared_node,G0038,1,E_N005790_N005795
intentional,graph_shared_junction,shared_node,G0039,1,E_N006013_N007151
intentional,graph_shared_junction,shared_node,G0040,1,E_N006157_N006168
intentional,graph_shared_junction,shared_node,G0041,1,E_N006224_N007347
intentional,graph_shared_junction,shared_node,G0042,1,E_N006377_N007515
intentional,graph_shared_junction,shared_node,G0043,11,E_N006559_N006560|E_N006559_N006563|E_N006559_N006565|E_N006559_N006574|E_N006559_N006579|E_N006559_N006686|E_N006559_N006689|E_N006559_N006700|E_N006559_N007699|E_N006559_N007713|E_N006559_N007823
intentional,graph_shared_junction,shared_node,G0044,1,E_N006615_N006621
intentional,graph_shared_junction,shared_node,G0045,1,E_N006867_N006868
intentional,graph_shared_junction,shared_node,G0046,4,E_N006910_N006915|E_N006910_N008047|E_N006913_N006915|E_N008047_N008049
intentional,graph_shared_junction,shared_node,G0047,1,E_N006937_N007078
intentional,graph_shared_junction,shared_node,G0048,4,E_N006979_N006985|E_N006979_N007106|E_N006979_N007109|E_N007106_N008229
intentional,graph_shared_junction,shared_node,G0049,1,E_N007445_N007456
intentional,graph_shared_junction,shared_node,G0050,1,E_N007571_N007582
intentional,graph_shared_junction,shared_node,G0051,1,E_N007665_N008803
intentional,graph_shared_junction,shared_node,G0052,1,E_N007943_N007948
intentional,graph_shared_junction,shared_node,G0053,1,E_N008141_N009295
