edge_id,source_strut_id,defect_class,k,neighbor_edge_ids,neighbor_defect_classes,neighbor_distances_mm,missing_neighbor_count,broken_neighbor_count,thin_neighbor_count
E_N000251_N000361,651,broken,1,"[""E_N000361_N000363""]","[""broken""]",[3.224406922210658],0,1,0
E_N000251_N000361,651,broken,3,"[""E_N000361_N000363"",""E_N000358_N001495"",""E_N001365_N001380""]","[""broken"",""broken"",""missing""]","[3.224406922210658,4.265489420922293,7.209993065183904]",1,2,0
E_N000251_N000361,651,broken,5,"[""E_N000361_N000363"",""E_N000358_N001495"",""E_N001365_N001380"",""E_N001379_N001506"",""E_N001491_N001506""]","[""broken"",""broken"",""missing"",""missing"",""missing""]","[3.224406922210658,4.265489420922293,7.209993065183904,7.209993065183905,7.209993065183905]",3,2,0
E_N000251_N000361,651,broken,10,"[""E_N000361_N000363"",""E_N000358_N001495"",""E_N001365_N001380"",""E_N001379_N001506"",""E_N001491_N001506"",""E_N003511_N003526"",""E_N003466_N003471"",""E_N003450_N003466"",""E_N003450_N003455"",""E_N003466_N004589""]","[""broken"",""broken"",""missing"",""missing"",""missing"",""missing"",""broken"",""broken"",""broken"",""broken""]","[3.224406922210658,4.265489420922293,7.209993065183904,7.209993065183905,7.209993065183905,16.44131381611579,23.6395431427936,25.895822056849248,26.045944022054563,26.24477090774465]",4,6,0
E_N000358_N001495,2640,broken,1,"[""E_N000361_N000363""]","[""broken""]",[3.604996532591952],0,1,0
E_N000358_N001495,2640,broken,3,"[""E_N000361_N000363"",""E_N000251_N000361"",""E_N001491_N001506""]","[""broken"",""broken"",""missing""]","[3.604996532591952,4.265489420922293,4.265489420922294]",1,2,0
E_N000358_N001495,2640,broken,5,"[""E_N000361_N000363"",""E_N000251_N000361"",""E_N001491_N001506"",""E_N001365_N001380"",""E_N001379_N001506""]","[""broken"",""broken"",""missing"",""missing"",""missing""]","[3.604996532591952,4.265489420922293,4.265489420922294,5.3470739661987094,5.812882245495777]",3,2,0
E_N000358_N001495,2640,broken,10,"[""E_N000361_N000363"",""E_N000251_N000361"",""E_N001491_N001506"",""E_N001365_N001380"",""E_N001379_N001506"",""E_N003511_N003526"",""E_N003466_N003471"",""E_N003450_N003466"",""E_N003466_N004589"",""E_N003450_N003455""]","[""broken"",""broken"",""missing"",""missing"",""missing"",""missing"",""broken"",""broken"",""broken"",""broken""]","[3.604996532591952,4.265489420922293,4.265489420922294,5.3470739661987094,5.812882245495777,14.687872548466641,20.329112130144786,22.7429285713164,22.913716416155626,22.970363514755263]",4,6,0
E_N000361_N000363,625,broken,1,"[""E_N000251_N000361""]","[""broken""]",[3.224406922210658],0,1,0
E_N000361_N000363,625,broken,3,"[""E_N000251_N000361"",""E_N000358_N001495"",""E_N001491_N001506""]","[""broken"",""broken"",""missing""]","[3.224406922210658,3.604996532591952,7.209993065183905]",1,2,0
E_N000361_N000363,625,broken,5,"[""E_N000251_N000361"",""E_N000358_N001495"",""E_N001491_N001506"",""E_N001365_N001380"",""E_N001379_N001506""]","[""broken"",""broken"",""missing"",""missing"",""missing""]","[3.224406922210658,3.604996532591952,7.209993065183905,8.530978841844586,8.530978841844588]",3,2,0
E_N000361_N000363,625,broken,10,"[""E_N000251_N000361"",""E_N000358_N001495"",""E_N001491_N001506"",""E_N001365_N001380"",""E_N001379_N001506"",""E_N003511_N003526"",""E_N003466_N003471"",""E_N003450_N003466"",""E_N003450_N003455"",""E_N003466_N004589""]","[""broken"",""broken"",""missing"",""missing"",""missing"",""missing"",""broken"",""broken"",""broken"",""broken""]","[3.224406922210658,3.604996532591952,7.209993065183905,8.530978841844586,8.530978841844588,17.95273795274693,22.856928927570294,25.28642323461347,25.337766278817867,25.542106412745206]",4,6,0
E_N001010_N001021,1772,missing,1,"[""E_N001010_N001035""]","[""missing""]",[2.2799999999999994],1,0,0
E_N001010_N001021,1772,missing,3,"[""E_N001010_N001035"",""E_N001011_N001021"",""E_N001015_N001021""]","[""missing"",""missing"",""missing""]","[2.2799999999999994,2.2800000000000002,2.2800000000000002]",3,0,0
E_N001010_N001021,1772,missing,5,"[""E_N001010_N001035"",""E_N001011_N001021"",""E_N001015_N001021"",""E_N001015_N001035"",""E_N001012_N001021""]","[""missing"",""missing"",""missing"",""missing"",""missing""]","[2.2799999999999994,2.2800000000000002,2.2800000000000002,3.2244069222106564,3.2244069222106573]",5,0,0
E_N001010_N001021,1772,missing,10,"[""E_N001010_N001035"",""E_N001011_N001021"",""E_N001015_N001021"",""E_N001015_N001035"",""E_N001012_N001021"",""E_N001012_N001016"",""E_N001015_N002155"",""E_N001024_N001035"",""E_N001012_N002155"",""E_N001015_N002169""]","[""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing""]","[2.2799999999999994,2.2800000000000002,2.2800000000000002,3.2244069222106564,3.2244069222106573,4.265489420922293,4.56,4.56,5.09823498869952,5.09823498869952]",10,0,0
E_N001010_N001035,1801,missing,1,"[""E_N001010_N001021""]","[""missing""]",[2.2799999999999994],1,0,0
