rank,edge_id,source_strut_id,design_state,mean_delta_mm,panel_metric_label,panel_metric_value,baseline_distance_mean_mm,design_distance_mean_mm,endpoint_u_x,endpoint_u_y,endpoint_u_z,endpoint_v_x,endpoint_v_y,endpoint_v_z,midpoint_x,midpoint_y,midpoint_z,tiff_center_z_slice,tiff_z_min_slice,tiff_z_max_slice,tiff_y_min,tiff_y_max,tiff_x_min,tiff_x_max,review_reason,ct_missing_material_anomaly_score
1,E_N003450_N004589,8164,auto_supported_possible_unintended_missing,5.85,CT anomaly score,5.85,0.0,0.0,374.9885572438534,51.4518050110184,342.63266924541585,375.1572763559238,91.04936194235977,382.0120695656866,375.0729167998886,71.25058347668909,362.3223694055512,362,332,393,23,120,346,404,,5.85
2,E_N006559_N007697,13665,auto_supported_possible_unintended_missing,5.6499999999999995,CT anomaly score,5.6499999999999995,0.0,0.0,141.14434599323565,684.9045751522737,498.6430024468527,140.91129429799352,645.5258372599305,538.2408917790789,141.02782014561458,665.215206206102,518.4419471129657,518,488,549,617,713,112,170,,5.6499999999999995
3,E_N003466_N003471,6166,auto_supported_possible_unintended_disconnected,5.6,CT anomaly score,5.6,0.0,0.0,414.67772807130524,90.73915684389685,342.5561470740906,414.91077976654736,130.11789473624,302.95825774186454,414.7942539189263,110.42852579006842,322.75720240797756,323,292,353,62,159,386,443,,5.6
4,E_N004584_N004604,8170,auto_supported_possible_unintended_disconnected,5.6,CT anomaly score,5.6,0.0,0.0,374.9242246606817,51.67062405001658,421.60995889791275,414.4446763760633,51.36041895155373,382.1540364063167,394.6844505183725,51.515521500785155,401.8819976521147,402,372,432,23,80,346,443,,5.6
5,E_N003452_N003456,6141,auto_supported_possible_unintended_disconnected,5.360416666666667,CT anomaly score,5.360416666666667,0.0,0.0,335.7011572237139,91.14074800182443,342.49070240478574,335.5324381116435,51.543191070483076,303.1113020845149,335.6167976676787,71.34196953615375,322.8010022446503,323,293,353,23,120,307,364,,5.360416666666667
6,E_N001012_N001016,3779,auto_supported_possible_unintended_missing,5.35,CT anomaly score,5.35,0.0,0.0,62.89120886881477,763.1883659388948,103.47262050310759,102.17860888895417,723.4994229480886,103.61458734373771,82.53490887888447,743.3438944434918,103.54360392342265,104,93,114,695,767,34,131,,5.35
7,E_N003436_N003452,8136,auto_supported_possible_unintended_missing,5.3277777777777775,CT anomaly score,5.3277777777777775,0.0,0.0,296.01198639626205,51.85339616894598,342.56722457611085,335.7011572237139,91.14074800182443,342.49070240478574,315.85657180998794,71.49707208538521,342.5289634904483,343,332,353,23,120,268,364,,5.3277777777777775
8,E_N003450_N003455,6151,auto_supported_possible_unintended_disconnected,5.266666666666667,CT anomaly score,5.266666666666667,0.0,0.0,374.9885572438534,51.4518050110184,342.63266924541585,375.22160893909546,90.8305429033616,303.03477991318965,375.1050830914744,71.14117395719,322.8337245793027,323,293,353,23,119,346,404,,5.266666666666667
9,E_N005369_N005375,9735,auto_supported_possible_unintended_disconnected,5.220833333333332,CT anomaly score,5.220833333333332,0.0,0.0,535.6897620070521,603.701505499953,420.2114251528356,496.23364287484196,603.7928915594176,380.6900579919346,515.961702440947,603.7471985296853,400.45074157238514,400,370,431,575,632,468,564,,5.220833333333332
10,E_N008967_N010105,18249,auto_supported_possible_unintended_disconnected,5.177083333333334,CT anomaly score,5.177083333333334,0.0,0.0,220.39402248179627,763.916916896027,656.4445374091962,220.16097078655423,724.5381790036838,696.0424267414221,220.27749663417524,744.2275479498554,676.2434820753092,676,646,707,696,767,192,249,,5.177083333333334
11,E_N010102_N010107,18238,auto_supported_possible_unintended_disconnected,4.864583333333333,CT anomaly score,4.864583333333333,0.0,0.0,180.64051907117263,724.8483841021467,735.4983492330182,180.8735707664147,764.2271219944898,695.900459900792,180.75704491879367,744.5377530483183,715.6994045669051,716,685,746,696,767,152,209,,4.864583333333333
12,E_N003466_N004589,8173,auto_supported_possible_unintended_disconnected,4.815201465201466,CT anomaly score,4.815201465201466,0.0,0.0,414.67772807130524,90.73915684389685,342.5561470740906,375.1572763559238,91.04936194235977,382.0120695656866,394.9175022136145,90.89425939312831,362.28410831988856,362,332,393,62,120,347,443,,4.815201465201466
13,E_N005471_N005482,9712,auto_supported_possible_unintended_disconnected,4.754166666666666,CT anomaly score,4.754166666666666,0.0,0.0,377.969672007111,643.8834257081514,380.4826464819996,417.42579113932084,643.7920396486867,420.00401364290065,397.69773157321595,643.8377326784191,400.2433300624501,400,370,431,615,672,349,446,,4.754166666666666
14,E_N003450_N003466,8160,auto_supported_possible_unintended_disconnected,4.654166666666666,CT anomaly score,4.654166666666666,0.0,0.0,374.9885572438534,51.4518050110184,342.63266924541585,414.67772807130524,90.73915684389685,342.5561470740906,394.8331426575793,71.09548092745763,342.59440815975324,343,332,353,23,119,346,443,,4.654166666666666
