rank,edge_id,source_strut_id,design_state,mean_delta_mm,output_path,crop_shape_zyx,display_vmin,display_vmax,axial_max_median,axial_p95_median,axial_mean_median,centerline_median,axial_material_fraction_median,axial_material_fraction_min,axial_material_fraction_max
1,E_N001012_N002152,3781,phase2c_auto_supported_possible_unintended_missing,5.25,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_001_E_N001012_N002152_ct_panel.png,"[62, 73, 58]",30826.07,50227.0,32921.29296875,32689.20009765625,32216.9921875,32147.15625,0.0,0.0,0.08293460925039872
2,E_N001010_N001021,1772,phase2c_auto_supported_possible_unintended_missing,3.7944444444444447,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_002_E_N001010_N001021_ct_panel.png,"[62, 34, 97]",25243.75,53669.0,33746.37109375,33185.548828125,29513.78125,32516.5390625,0.0,0.0,0.0
3,E_N001012_N001021,1774,phase2c_auto_supported_possible_unintended_missing,3.7944444444444447,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_003_E_N001012_N001021_ct_panel.png,"[61, 34, 98]",30982.0,46771.235000000015,33284.90625,33012.216796875,26695.84375,32455.482421875,0.0,0.0,0.0
4,E_N001015_N001035,1802,phase2c_auto_supported_possible_unintended_missing,3.7944444444444447,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_004_E_N001015_N001035_ct_panel.png,"[61, 34, 98]",31496.0,47965.74100000001,33800.74609375,33514.142187499994,30032.5,32903.1328125,0.0,0.0,0.0
5,E_N001015_N002155,3788,phase2c_auto_supported_possible_unintended_missing,3.7944444444444447,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_005_E_N001015_N002155_ct_panel.png,"[61, 34, 97]",30686.0,47897.256000000285,33174.88671875,32862.844140625006,29452.77734375,32338.896484375,0.0,0.0,0.0
6,E_N001024_N001035,1800,phase2c_auto_supported_possible_unintended_missing,3.7944444444444447,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_006_E_N001024_N001035_ct_panel.png,"[62, 34, 97]",26760.75,54318.57500000001,34214.5078125,33854.8912109375,30278.890625,33250.7421875,0.0,0.0,0.003189792663476874
7,E_N001029_N001049,1830,phase2c_auto_supported_possible_unintended_missing,3.7944444444444447,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_007_E_N001029_N001049_ct_panel.png,"[61, 34, 98]",31455.51,48424.247,33965.328125,33643.4537109375,30207.0625,33190.7265625,0.0,0.0,0.0
8,E_N001029_N002169,3816,phase2c_auto_supported_possible_unintended_missing,3.7944444444444447,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_008_E_N001029_N002169_ct_panel.png,"[62, 34, 97]",30560.0,47915.57500000001,33055.46875,32849.45546875,29428.4140625,32284.83984375,0.0,0.0,0.0
9,E_N001038_N001049,1828,phase2c_auto_supported_possible_unintended_missing,3.7944444444444447,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_009_E_N001038_N001049_ct_panel.png,"[62, 35, 97]",27089.89,55084.0,34774.078125,34406.663476562506,32297.03515625,33782.1953125,0.0,0.0,0.019138755980861243
10,E_N001043_N002183,3844,phase2c_auto_supported_possible_unintended_missing,3.7944444444444447,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_010_E_N001043_N002183_ct_panel.png,"[62, 35, 97]",30508.0,48218.06599999999,33138.3515625,32872.38203125,29444.89453125,32191.22265625,0.0,0.0,0.0
11,E_N002146_N002155,3790,phase2c_auto_supported_possible_unintended_missing,3.7944444444444447,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_011_E_N002146_N002155_ct_panel.png,"[62, 33, 98]",30300.07,46933.87399999995,32344.857421875,32030.19638671875,25882.365234375,31537.919921875,0.0,0.0,0.0
12,E_N002149_N002169,3818,phase2c_auto_supported_possible_unintended_missing,3.7944444444444447,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_012_E_N002149_N002169_ct_panel.png,"[61, 34, 98]",30165.0,47730.0,32318.859375,32097.180371093753,28787.45703125,31551.5078125,0.0,0.0,0.0
13,E_N001379_N001506,4665,phase2c_auto_supported_possible_unintended_missing,3.6000000000000005,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_013_E_N001379_N001506_ct_panel.png,"[22, 98, 65]",30201.0,55665.74900000004,46892.609375,40745.35351562499,33007.87890625,32514.5,0.05901116427432217,0.04784688995215311,0.42105263157894735
14,E_N000361_N000363,625,phase2c_auto_supported_possible_unintended_disconnected,3.4333333333333336,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_014_E_N000361_N000363_ct_panel.png,"[22, 98, 98]",30521.87,56802.83399999997,47842.49609375,39524.15898437498,34398.1484375,33950.62890625,0.046251993620414676,0.03508771929824561,0.5598086124401914
15,E_N001385_N001495,2667,phase2c_still_review_required,3.6833333333333336,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_015_E_N001385_N001495_ct_panel.png,"[23, 97, 97]",30284.06,55585.91000000003,45438.79296875,40252.24726562499,33270.80859375,32608.1328125,0.05263157894736842,0.025518341307814992,0.5996810207336523
16,E_N008313_N008315,14765,phase2c_still_review_required,3.6208333333333336,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_016_E_N008313_N008315_ct_panel.png,"[22, 98, 65]",30740.0,53146.0,45358.03515625,40552.282812499994,33198.6015625,31870.533203125,0.05901116427432217,0.0430622009569378,0.4274322169059011
17,E_N000357_N000372,2651,phase2c_still_review_required,3.547916666666667,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_017_E_N000357_N000372_ct_panel.png,"[22, 98, 97]",30149.0,55927.034999999945,45716.1171875,39054.70156249999,33172.33203125,32651.00390625,0.0430622009569378,0.028708133971291867,0.5566188197767146
18,E_N002643_N002645,4685,phase2c_still_review_required,3.547916666666667,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_018_E_N002643_N002645_ct_panel.png,"[22, 98, 65]",30013.0,55904.915000000066,47733.5703125,41632.679687499985,32864.9296875,32495.2265625,0.06220095693779904,0.0430622009569378,0.41467304625199364
19,E_N000245_N000372,2649,phase2c_still_review_required,3.5375000000000005,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_019_E_N000245_N000372_ct_panel.png,"[22, 98, 65]",30231.39,56143.49800000008,47428.9609375,39802.10410156248,33020.02734375,32380.8125,0.049441786283891544,0.04146730462519936,0.4274322169059011
20,E_N000375_N000377,653,phase2c_still_review_required,3.5375000000000005,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_020_E_N000375_N000377_ct_panel.png,"[22, 97, 65]",30961.09,57782.98399999994,49593.5234375,40744.26933593747,34211.5625,33846.7109375,0.05582137161084529,0.04784688995215311,0.4784688995215311
21,E_N007049_N007176,14745,phase2c_still_review_required,3.5375,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_021_E_N007049_N007176_ct_panel.png,"[22, 97, 65]",30454.0,53545.85699999993,45900.1875,40553.95351562498,33058.8828125,31443.01171875,0.05901116427432217,0.04784688995215311,0.4194577352472089
22,E_N000245_N000251,647,phase2c_still_review_required,3.528075396825397,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_022_E_N000245_N000251_ct_panel.png,"[61, 58, 65]",30471.0,55793.55799999996,53750.140625,47945.76015624999,34800.1484375,32531.4921875,0.14832535885167464,0.12280701754385964,0.44976076555023925
23,E_N001509_N001511,2669,phase2c_still_review_required,3.5270833333333336,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_023_E_N001509_N001511_ct_panel.png,"[22, 98, 65]",30428.0,55865.99600000016,46593.0703125,40675.958593749994,33114.1953125,32555.640625,0.05741626794258373,0.0430622009569378,0.43859649122807015
24,E_N000240_N000375,640,phase2c_still_review_required,3.5166666666666666,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_024_E_N000240_N000375_ct_panel.png,"[61, 98, 26]",31473.0,57097.71900000001,46065.4453125,36578.602734374996,3429.380615234375,0.0,0.017543859649122806,0.014354066985645933,0.13237639553429026
25,E_N003773_N003777,6691,phase2c_still_review_required,3.50625,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_025_E_N003773_N003777_ct_panel.png,"[62, 98, 26]",30458.0,53828.07500000001,47413.5078125,33275.77421875,6113.32421875,0.0,0.01594896331738437,0.011164274322169059,0.023923444976076555
26,E_N003647_N003651,6471,phase2c_still_review_required,3.4958333333333336,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_026_E_N003647_N003651_ct_panel.png,"[61, 98, 26]",30438.27,54052.59500000006,43974.37109375,33219.891210937494,6136.1083984375,0.0,0.012759170653907496,0.007974481658692184,0.025518341307814992
27,E_N004907_N004911,8707,phase2c_still_review_required,3.4958333333333336,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_027_E_N004907_N004911_ct_panel.png,"[62, 98, 26]",30520.0,53407.60000000009,45839.296875,33459.96484374999,6170.48828125,0.0,0.017543859649122806,0.012759170653907496,0.05901116427432217
28,E_N000119_N001383,2436,phase2c_still_review_required,3.4645833333333336,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_028_E_N000119_N001383_ct_panel.png,"[62, 98, 26]",30709.75,53623.07500000001,45259.3203125,33923.179296874994,6205.73828125,0.0,0.02073365231259968,0.012759170653907496,0.09728867623604466
29,E_N000245_N000249,423,phase2c_still_review_required,3.4645833333333336,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_029_E_N000245_N000249_ct_panel.png,"[61, 97, 26]",30754.41,54381.29300000012,45070.7421875,34327.070312499985,6235.31005859375,0.0,0.02073365231259968,0.012759170653907496,0.12121212121212122
30,E_N002640_N003777,6700,phase2c_still_review_required,3.457638888888889,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_030_E_N002640_N003777_ct_panel.png,"[61, 58, 65]",30363.0,54876.371999999974,53115.37890625,46110.025976562494,33867.3984375,32369.203125,0.10207336523125997,0.08931419457735247,0.4178628389154705
31,E_N000249_N000251,433,phase2c_still_review_required,3.454166666666667,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_031_E_N000249_N000251_ct_panel.png,"[22, 97, 65]",30799.0,57289.745999999985,48807.7109375,40519.23066406247,33871.171875,33457.0625,0.05422647527910686,0.044657097288676235,0.46730462519936206
32,E_N001379_N002643,4672,phase2c_still_review_required,3.4541666666666666,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_032_E_N001379_N002643_ct_panel.png,"[61, 98, 26]",30562.0,54056.31400000007,45209.296875,33791.33769531249,6206.720703125,0.0,0.017543859649122806,0.011164274322169059,0.051036682615629984
33,E_N001505_N001511,2883,phase2c_still_review_required,3.4485014619883043,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_033_E_N001505_N001511_ct_panel.png,"[62, 59, 65]",30403.0,54764.850999999995,50920.34765625,44167.56074218749,33397.56640625,32594.900390625,0.08771929824561403,0.0430622009569378,0.4433811802232855
34,E_N000361_N000372,648,phase2c_still_review_required,3.4460213032581457,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_034_E_N000361_N000372_ct_panel.png,"[62, 58, 97]",30427.0,55097.70099999994,50290.30078125,44702.51445312499,34509.65625,32944.5390625,0.1076555023923445,0.06539074960127592,0.7671451355661882
35,E_N000372_N001509,2668,phase2c_still_review_required,3.4356046365914787,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_035_E_N000372_N001509_ct_panel.png,"[61, 58, 65]",30459.0,54808.83699999994,51936.4140625,45679.75507812499,33958.6171875,32736.029296875,0.10685805422647528,0.049441786283891544,0.44178628389154706
36,E_N008813_N010077,18156,phase2c_still_review_required,3.4270833333333335,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_036_E_N008813_N010077_ct_panel.png,"[61, 97, 24]",30221.0,51691.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,E_N002639_N002643,4675,phase2c_still_review_required,3.4229166666666666,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_037_E_N002639_N002643_ct_panel.png,"[62, 98, 26]",30515.0,53900.30000000005,46044.33203125,32163.8822265625,3145.32763671875,0.0,0.014354066985645933,0.012759170653907496,0.028708133971291867
38,E_N008813_N008817,15635,phase2c_still_review_required,3.4166666666666665,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_038_E_N008813_N008817_ct_panel.png,"[62, 98, 24]",30163.0,52369.061999999976,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,E_N005789_N007053,12516,phase2c_still_review_required,3.4020833333333336,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_039_E_N005789_N007053_ct_panel.png,"[62, 98, 26]",30526.0,52875.35000000021,41306.11328125,32732.6966796875,6007.306640625,0.0,0.007974481658692184,0.0,0.03827751196172249
40,E_N008057_N009321,16620,phase2c_still_review_required,3.4020833333333336,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_040_E_N008057_N009321_ct_panel.png,"[62, 97, 26]",30742.0,51579.73299999998,43692.984375,34271.58476562498,6263.98291015625,0.0,0.012759170653907496,0.007974481658692184,0.06539074960127592
41,E_N007553_N008817,15632,phase2c_still_review_required,3.3958333333333335,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_041_E_N007553_N008817_ct_panel.png,"[61, 98, 24]",30379.0,52809.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,E_N008687_N009951,17900,phase2c_still_review_required,3.375,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_042_E_N008687_N009951_ct_panel.png,"[61, 97, 24]",30282.0,51573.83199999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,E_N009191_N009321,16622,phase2c_still_review_required,3.3604166666666666,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_043_E_N009191_N009321_ct_panel.png,"[61, 97, 27]",27146.58,50143.45199999999,42600.8046875,34186.1619140625,6273.3544921875,0.0,0.011164274322169059,0.007974481658692184,0.09569377990430622
44,E_N003144_N004283,7587,phase2c_still_review_required,3.3541666666666665,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_044_E_N003144_N004283_ct_panel.png,"[61, 98, 58]",30263.23,54692.49300000002,51511.69140625,38833.80546874998,33130.796875,31978.501953125,0.046251993620414676,0.028708133971291867,0.43221690590111644
45,E_N000245_N001509,2656,phase2c_still_review_required,3.35,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_045_E_N000245_N001509_ct_panel.png,"[61, 98, 26]",30765.0,53857.47100000011,44650.109375,33876.65253906249,6188.31640625,0.0,0.014354066985645933,0.011164274322169059,0.09090909090909091
46,E_N000371_N000375,643,phase2c_still_review_required,3.35,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_046_E_N000371_N000375_ct_panel.png,"[62, 97, 25]",30858.0,54694.38900000011,45257.5546875,32611.429492187497,3163.95263671875,0.0,0.014354066985645933,0.011164274322169059,0.09090909090909091
47,E_N001052_N001063,1856,phase2c_still_review_required,3.35,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_047_E_N001052_N001063_ct_panel.png,"[62, 35, 97]",27045.78,55653.59899999999,35065.421875,34731.4666015625,33952.5078125,34066.9765625,0.0,0.0,0.025518341307814992
48,E_N001052_N001077,1885,phase2c_still_review_required,3.35,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_048_E_N001052_N001077_ct_panel.png,"[62, 35, 98]",27036.59,55949.0,35165.6484375,34837.6546875,34025.15234375,34099.09765625,0.0,0.0,0.03349282296650718
49,E_N001066_N001077,1884,phase2c_still_review_required,3.35,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_049_E_N001066_N001077_ct_panel.png,"[62, 36, 97]",26991.0,56215.0,35197.625,34893.496679687494,34063.234375,34198.08203125,0.0,0.0,0.03827751196172249
50,E_N001066_N001091,1913,phase2c_still_review_required,3.35,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_050_E_N001066_N001091_ct_panel.png,"[62, 36, 98]",26970.7,56542.0,35288.9296875,34979.600390625,34144.0703125,34347.6875,0.0,0.0,0.03827751196172249
51,E_N001071_N002225,3929,phase2c_still_review_required,3.35,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_051_E_N001071_N002225_ct_panel.png,"[62, 35, 98]",30559.0,48076.160999999905,32907.8984375,32662.193164062497,32247.90625,32117.12890625,0.0,0.0,0.0
52,E_N001080_N001091,1912,phase2c_still_review_required,3.35,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_052_E_N001080_N001091_ct_panel.png,"[62, 36, 97]",26870.03,56813.98200000002,35272.1328125,34972.0599609375,34191.09765625,34369.84375,0.0,0.0,0.049441786283891544
53,E_N001085_N001091,1915,phase2c_still_review_required,3.35,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_053_E_N001085_N001091_ct_panel.png,"[61, 36, 97]",31430.11,48979.967000000004,33867.01953125,33527.7580078125,33108.0390625,32931.375,0.0,0.0,0.0
54,E_N001505_N001509,2659,phase2c_still_review_required,3.35,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_054_E_N001505_N001509_ct_panel.png,"[62, 97, 25]",30732.0,53904.483000000095,44952.1015625,32370.7337890625,3140.041748046875,0.0,0.014354066985645933,0.011164274322169059,0.049441786283891544
55,E_N002191_N003345,5917,phase2c_still_review_required,3.35,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_055_E_N002191_N003345_ct_panel.png,"[62, 35, 98]",30157.0,47953.02299999999,32228.7109375,32079.63271484375,31631.84375,31445.11328125,0.0,0.0,0.0
56,E_N002205_N002211,3903,phase2c_still_review_required,3.35,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_056_E_N002205_N002211_ct_panel.png,"[61, 35, 97]",30223.0,47912.871999999974,32323.0,32110.480859375,31693.9296875,31604.609375,0.0,0.0,0.0
