verification_queue,verification_priority,edge_id,source_strut_id,node_u,node_v,phase2b4_automated_review_label,phase2b4_automated_review_status,phase2c_triage_bucket,phase2c_label,phase2c_status,phase2c_confidence_tier,phase2c_reason,phase2b3_missing_evidence_count,ct_anomaly_rank,ct_missing_material_anomaly_score,occupied_axial_fraction,longest_low_area_gap_fraction,area_mean_voxels2,core_minus_background_contrast,negative_template_residual,bridge_connected_26,threshold_stability_occupied_fraction_range,local_registration_stability_voxels,orientation_key,boundary_bin,spatial_region
newly_promoted_14_first_priority,1,E_N001012_N002152,3781,N001012,N002152,manual_review_possible_unintended_missing,blocked_manual_review,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,moderate_with_boundary_or_stability_caution,second_pass_zero_material_body_despite_bounded_instability,7,53,5.25,0.0,1.0,0.0,-0.8333333333333334,3.4,False,0.0,2.5,ori011,boundary,r020
newly_promoted_14_first_priority,2,E_N001010_N001021,1772,N001010,N001021,manual_review_possible_unintended_missing,blocked_manual_review,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,moderate_with_boundary_or_stability_caution,second_pass_zero_material_body_despite_bounded_instability,6,93,3.7944444444444447,0.0,1.0,0.0,0.3584474885844749,1.9444444444444444,False,0.0,0.0,ori101,boundary,r020
newly_promoted_14_first_priority,3,E_N001012_N001021,1774,N001012,N001021,manual_review_possible_unintended_missing,blocked_manual_review,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,moderate_with_boundary_or_stability_caution,second_pass_zero_material_body_despite_bounded_instability,6,96,3.7944444444444447,0.0,1.0,0.0,0.12941176470588237,1.9444444444444444,False,0.0,0.0,ori101,boundary,r020
newly_promoted_14_first_priority,4,E_N001015_N001035,1802,N001015,N001035,manual_review_possible_unintended_missing,blocked_manual_review,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,moderate_with_boundary_or_stability_caution,second_pass_zero_material_body_despite_bounded_instability,6,99,3.7944444444444447,0.0,1.0,0.0,0.21957671957671956,1.9444444444444444,False,0.0,0.0,ori101,boundary,r020
newly_promoted_14_first_priority,5,E_N001015_N002155,3788,N001015,N002155,manual_review_possible_unintended_missing,blocked_manual_review,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,moderate_with_boundary_or_stability_caution,second_pass_zero_material_body_despite_bounded_instability,6,100,3.7944444444444447,0.0,1.0,0.0,0.0498220640569395,1.9444444444444444,False,0.0,0.0,ori101,boundary,r020
newly_promoted_14_first_priority,6,E_N001024_N001035,1800,N001024,N001035,manual_review_possible_unintended_missing,blocked_manual_review,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,moderate_with_boundary_or_stability_caution,second_pass_zero_material_body_despite_bounded_instability,6,102,3.7944444444444447,0.0,1.0,0.0,0.05664488017429194,1.9444444444444444,False,0.0,0.0,ori101,boundary,r020
newly_promoted_14_first_priority,7,E_N001029_N001049,1830,N001029,N001049,manual_review_possible_unintended_missing,blocked_manual_review,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,moderate_with_boundary_or_stability_caution,second_pass_zero_material_body_despite_bounded_instability,6,105,3.7944444444444447,0.0,1.0,0.0,0.25229357798165136,1.9444444444444444,False,0.0,0.0,ori101,boundary,r020
newly_promoted_14_first_priority,8,E_N001029_N002169,3816,N001029,N002169,manual_review_possible_unintended_missing,blocked_manual_review,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,moderate_with_boundary_or_stability_caution,second_pass_zero_material_body_despite_bounded_instability,6,106,3.7944444444444447,0.0,1.0,0.0,0.04339622641509434,1.9444444444444444,False,0.0,0.0,ori101,boundary,r020
newly_promoted_14_first_priority,9,E_N001038_N001049,1828,N001038,N001049,manual_review_possible_unintended_missing,blocked_manual_review,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,moderate_with_boundary_or_stability_caution,second_pass_zero_material_body_despite_bounded_instability,6,108,3.7944444444444447,0.0,1.0,0.0,0.06852248394004283,1.9444444444444444,False,0.0,0.0,ori101,boundary,r020
newly_promoted_14_first_priority,10,E_N001043_N002183,3844,N001043,N002183,manual_review_possible_unintended_missing,blocked_manual_review,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,moderate_with_boundary_or_stability_caution,second_pass_zero_material_body_despite_bounded_instability,6,110,3.7944444444444447,0.0,1.0,0.0,0.26057906458797325,1.9444444444444444,False,0.0,0.0,ori101,boundary,r020
