rank,edge_id,source_strut_id,design_state,mean_delta_mm,panel_metric_label,panel_metric_value,baseline_distance_mean_mm,design_distance_mean_mm,endpoint_u_x,endpoint_u_y,endpoint_u_z,endpoint_v_x,endpoint_v_y,endpoint_v_z,midpoint_x,midpoint_y,midpoint_z,tiff_center_z_slice,tiff_z_min_slice,tiff_z_max_slice,tiff_y_min,tiff_y_max,tiff_x_min,tiff_x_max,review_reason,ct_missing_material_anomaly_score
1,E_N001012_N002152,3781,phase2c_auto_supported_possible_unintended_missing,5.25,CT anomaly score,5.25,0.0,0.0,62.89120886881477,763.1883659388948,103.47262050310759,62.65815717357272,723.8096280465517,143.07050983533372,62.774683021193745,743.4989969927233,123.27156516922065,123,93,154,695,767,34,91,second_pass_zero_material_body_despite_bounded_instability,5.25
2,E_N001010_N001021,1772,phase2c_auto_supported_possible_unintended_missing,3.7944444444444447,CT anomaly score,3.7944444444444447,0.0,0.0,141.93211229957785,762.5679557419691,24.560775519915577,102.41166058419627,762.8781608404319,64.01669801151152,122.17188644188707,762.7230582912005,44.28873676571355,44,14,75,734,767,74,170,second_pass_zero_material_body_despite_bounded_instability,3.7944444444444447
3,E_N001012_N001021,1774,phase2c_auto_supported_possible_unintended_missing,3.7944444444444447,CT anomaly score,3.7944444444444447,0.0,0.0,62.89120886881477,763.1883659388948,103.47262050310759,102.41166058419627,762.8781608404319,64.01669801151152,82.65143472650553,763.0332633896633,83.74465925730956,84,54,114,734,767,34,131,second_pass_zero_material_body_despite_bounded_instability,3.7944444444444447
4,E_N001015_N001035,1802,phase2c_auto_supported_possible_unintended_missing,3.7944444444444447,CT anomaly score,3.7944444444444447,0.0,0.0,141.86777971640615,762.7867747809671,103.53806517241252,181.38823143178766,762.4765696825043,64.0821426808165,161.6280055740969,762.6316722317357,83.81010392661452,84,54,114,734,767,113,210,second_pass_zero_material_body_despite_bounded_instability,3.7944444444444447
5,E_N001015_N002155,3788,phase2c_auto_supported_possible_unintended_missing,3.7944444444444447,CT anomaly score,3.7944444444444447,0.0,0.0,141.86777971640615,762.7867747809671,103.53806517241252,102.34732800102454,763.0969798794301,142.99398766400859,122.10755385871533,762.9418773301986,123.26602641821054,123,93,153,734,767,74,170,second_pass_zero_material_body_despite_bounded_instability,3.7944444444444447
6,E_N001024_N001035,1800,phase2c_auto_supported_possible_unintended_missing,3.7944444444444447,CT anomaly score,3.7944444444444447,0.0,0.0,220.90868314716926,762.1663645840414,24.626220189220504,181.38823143178766,762.4765696825043,64.0821426808165,201.14845728947847,762.3214671332728,44.3541814350185,44,14,75,734,767,153,249,second_pass_zero_material_body_despite_bounded_instability,3.7944444444444447
7,E_N001029_N001049,1830,phase2c_auto_supported_possible_unintended_missing,3.7944444444444447,CT anomaly score,3.7944444444444447,0.0,0.0,220.8443505639976,762.3851836230396,103.60350984171744,260.3648022793791,762.0749785245767,64.14758735012143,240.60457642168836,762.2300810738082,83.87554859591944,84,54,114,734,767,192,289,second_pass_zero_material_body_despite_bounded_instability,3.7944444444444447
8,E_N001029_N002169,3816,phase2c_auto_supported_possible_unintended_missing,3.7944444444444447,CT anomaly score,3.7944444444444447,0.0,0.0,220.8443505639976,762.3851836230396,103.60350984171744,181.32389884861607,762.6953887215025,143.0594323333135,201.08412470630685,762.540286172271,123.33147108751547,123,93,154,734,767,153,249,second_pass_zero_material_body_despite_bounded_instability,3.7944444444444447
9,E_N001038_N001049,1828,phase2c_auto_supported_possible_unintended_missing,3.7944444444444447,CT anomaly score,3.7944444444444447,0.0,0.0,299.88525399476055,761.7647734261138,24.691664858525428,260.3648022793791,762.0749785245767,64.14758735012143,280.1250281370698,761.9198759753453,44.41962610432343,44,14,75,733,767,232,328,second_pass_zero_material_body_despite_bounded_instability,3.7944444444444447
10,E_N001043_N002183,3844,phase2c_auto_supported_possible_unintended_missing,3.7944444444444447,CT anomaly score,3.7944444444444447,0.0,0.0,299.8209214115891,761.983592465112,103.66895451102236,260.3004696962075,762.2937975635749,143.12487700261843,280.0606955538983,762.1386950143435,123.39691575682039,123,93,154,733,767,232,328,second_pass_zero_material_body_despite_bounded_instability,3.7944444444444447
11,E_N002146_N002155,3790,phase2c_auto_supported_possible_unintended_missing,3.7944444444444447,CT anomaly score,3.7944444444444447,0.0,0.0,62.826876285643095,763.4071849778929,182.44991015560456,102.34732800102454,763.0969798794301,142.99398766400859,82.58710214333382,763.2520824286615,162.72194890980657,163,132,193,735,767,34,131,second_pass_zero_material_body_despite_bounded_instability,3.7944444444444447
12,E_N002149_N002169,3818,phase2c_auto_supported_possible_unintended_missing,3.7944444444444447,CT anomaly score,3.7944444444444447,0.0,0.0,141.80344713323456,763.0055938199653,182.51535482490948,181.32389884861607,762.6953887215025,143.0594323333135,161.5636729909253,762.8504912707339,162.7873935791115,163,133,193,734,767,113,210,second_pass_zero_material_body_despite_bounded_instability,3.7944444444444447
13,E_N001379_N001506,4665,phase2c_auto_supported_possible_unintended_missing,3.6000000000000005,CT anomaly score,3.6000000000000005,0.0,0.0,770.8036182627786,206.9588007907532,184.56833526303598,731.5162182426391,246.64774378155923,184.42636842240586,751.1599182527088,226.80327228615621,184.49735184272092,184,174,195,178,275,703,767,second_pass_zero_material_body_despite_bounded_instability,3.6000000000000005
