sample_order,strut_id,start_z,start_y,start_x,end_z,end_y,end_x,mid_z,mid_y,mid_x,length_vox,region,height_band,orientation,occupancy,gap_fraction,start_support,end_support,alignment_error_vox,diameter_median_um,diameter_std_um,diameter_q25_um,diameter_q75_um,peak_intensity_median,station_count,coarse_state,threshold_stability,threshold_states,diameter_threshold_range_um,runtime_seconds,thickness_measurement_valid,thickness_exclusion_reason,prediction,confidence_percent_uncalibrated,prediction_reason,thin_candidate_cutoff_um
0,8578,341.97720220955,288.380689482072,376.1938696657907,342.0537243808751,249.09333764919356,336.50469883833887,342.01546329521256,268.73701356563276,356.34928425206476,55.845609949697355,interior,middle,0:-1:-1,1.0,0.0,1.0,1.0,0.0,259.7863776259256,0.0,259.7863776259256,259.7863776259256,47397.0,113,intact,1.0,intact|intact|intact,52.22171831654964,0.04670237499522045,True,,intact,100.0,occupancy=1.000; gap=0.000,232.36
1,6874,302.43368004460854,366.2435968914385,574.0692338836675,342.03156937683474,326.8648589990954,573.8361821884255,322.23262471072167,346.5542279452669,573.9527080360465,55.84560994969742,interior,middle,1:-1:0,1.0,0.0,1.0,1.0,2.0,328.6066633530124,17.16062005179814,328.6066633530124,328.6066633530124,50892.0,113,intact,1.0,intact|intact|intact,63.958281683450366,0.055760334005753975,True,,intact,83.0,occupancy=1.000; gap=0.000,232.36
2,6140,303.1113020845149,51.543191070483076,335.5324381116435,303.03477991318965,90.8305429033616,375.22160893909546,303.07304099885226,71.18686698692234,355.3770235253695,55.8456099496975,exterior,middle,0:-1:-1,1.0,0.0,1.0,1.0,0.0,232.36,8.589907849410551e-14,232.36,232.36,49189.0,113,intact,1.0,intact|intact|intact,27.426377625925568,0.039405625000654254,False,exterior strut may be contaminated by solid skin/wall,intact,100.0,occupancy=1.000; gap=0.000,232.36
3,1233,65.0759105652273,484.65396874686195,456.40003157276414,25.619988073631237,484.34376364839903,495.92048328814565,45.34794931942927,484.4988661976305,476.16025743045486,55.84560994969748,exterior,low,1:0:-1,1.0,0.0,1.0,1.0,0.0,592.4040870892097,284.8258293371978,506.41687926055545,943.8507818506059,58086.0,113,intact,1.0,intact|intact|intact,290.7551201291167,0.049592082999879494,False,exterior strut may be contaminated by solid skin/wall,intact,100.0,occupancy=1.000; gap=0.000,232.36
4,5028,223.32550105350165,366.82796016829553,416.1804247716563,223.2489788821765,406.1153120011738,455.8695955991083,223.28723996783907,386.47163608473466,436.0250101853823,55.845609949697334,interior,low,0:-1:-1,1.0,0.0,1.0,1.0,2.0,259.7863776259256,14.137532736140914,232.36,259.7863776259256,48634.0,113,intact,1.0,intact|intact|intact,52.22171831654964,0.047227917006239295,True,,intact,83.0,occupancy=1.000; gap=0.000,232.36
5,16563,737.431517834555,130.7190127138388,533.0218068304907,697.8336285023288,170.09775060618196,533.2548585257325,717.6325731684419,150.40838166001038,533.1383326781116,55.84560994969754,exterior,high,1:-1:0,1.0,0.0,1.0,1.0,1.0,348.54,3.90045756390025,348.54,348.54,48713.0,113,intact,1.0,intact|intact|intact,63.958281683450366,0.0930930829999852,False,exterior strut may be contaminated by solid skin/wall,intact,90.1,occupancy=1.000; gap=0.000,232.36
6,15105,618.1354271446611,407.2094071961648,455.54793268325017,617.9934603040311,446.89835018697096,416.26053266311067,618.0644437243461,427.0538786915679,435.90423267318045,55.845609949697526,exterior,high,0:-1:1,1.0,0.0,1.0,1.0,0.0,201.22966282335216,18.308523155891212,164.3033316765062,201.22966282335216,43575.0,113,intact,1.0,intact|intact|intact,68.05666832349382,0.044383540996932425,False,exterior strut may be contaminated by solid skin/wall,intact,100.0,occupancy=1.000; gap=0.000,232.36
7,4762,223.19461171489178,367.63114248415064,258.22728307647355,262.7925010471179,328.2524045918075,257.99423138123154,242.99355638100485,347.9417735379791,258.11075722885255,55.84560994969746,interior,low,1:-1:0,1.0,0.0,1.0,1.0,0.0,284.58171831654965,11.714520523477928,284.58171831654965,284.58171831654965,50557.0,113,intact,1.0,intact|intact|intact,68.8202857270868,0.060072457999922335,True,,intact,100.0,occupancy=1.000; gap=0.000,232.36
8,1902,24.887998866440263,760.5599999523312,536.8149665375349,24.9645210377654,721.2726481194526,497.12579571008297,24.926259952102832,740.9163240358919,516.9703811238089,55.84560994969753,exterior,low,0:-1:-1,1.0,0.0,1.0,1.0,0.0,1235.0103405235118,42.35167348582966,1196.1463097798699,1256.678841550219,54315.0,113,intact,1.0,intact|intact|intact,65.89152768777126,0.043355625006370246,False,exterior strut may be contaminated by solid skin/wall,intact,100.0,occupancy=1.000; gap=0.000,232.36
9,5545,183.69437921521487,522.8639800854912,772.4107014920285,183.55241237458475,562.5529230762974,733.1233014718889,183.6233957948998,542.7084515808942,752.7670014819587,55.84560994969757,exterior,low,0:-1:1,1.0,0.0,1.0,1.0,5.196152422706632,201.22966282335216,23.675931803011533,201.22966282335216,232.36,47754.0,113,intact,1.0,intact|intact|intact,31.130337176647856,0.03579695799999172,False,exterior strut may be contaminated by solid skin/wall,uncertain,50.0,occupancy=1.000; gap=0.000; centerline alignment is outside the reliable range,232.36
10,15049,578.6251374857804,368.4150325806787,297.42607187599697,618.0810599773763,368.72523767914157,257.90562016061546,598.3530987315784,368.5701351299101,277.6658460183062,55.845609949697334,interior,high,1:0:-1,1.0,0.0,1.0,1.0,0.0,328.6066633530124,8.32667680471931,328.6066633530124,328.6066633530124,50721.0,113,intact,1.0,intact|intact|intact,19.93333664698764,0.045173166996391956,True,,intact,100.0,occupancy=1.000; gap=0.000,232.36
11,10040,380.525936147264,721.2533559001256,694.2777262047894,341.00456898636315,721.3447419595901,654.8216070725794,360.7652525668136,721.2990489298579,674.5496666386844,55.84560994969745,exterior,middle,1:0:1,1.0,0.0,1.0,1.0,3.4641016151377544,328.6066633530124,29.00246682249102,284.58171831654965,328.6066633530124,52334.0,113,intact,1.0,intact|intact|intact,44.024945036462725,0.03865220900479471,False,exterior strut may be contaminated by solid skin/wall,uncertain,50.0,occupancy=1.000; gap=0.000; centerline alignment is outside the reliable range,232.36
12,15040,578.5596928164755,368.8166237386063,218.4495010284056,578.4831706451504,408.1039755714846,258.13867185585747,578.521431730813,388.46029965504545,238.29408644213152,55.84560994969728,interior,high,0:-1:-1,1.0,0.0,1.0,1.0,0.0,232.36,13.59833089969363,232.36,259.7863776259256,46488.0,113,intact,1.0,intact|intact|intact,27.426377625925568,0.042225207995215897,True,,thin,100.0,occupancy=1.000; gap=0.000; valid interior diameter=232.4 µm is in the sample's exploratory lower tail (≤232.4 µm),232.36
13,1504,65.05375556118676,562.4254900967637,693.7315149228509,25.532388400285885,562.5168761562285,654.2753957906409,45.29307198073632,562.471183126496,674.0034553567459,55.845609949697455,exterior,low,1:0:1,1.0,0.0,1.0,1.0,2.8284271247461903,385.32546814349035,173.75127159523203,328.6066633530124,445.78491929261236,53678.0,113,intact,1.0,intact|intact|intact,86.16575519539651,0.05009495800186414,False,exterior strut may be contaminated by solid skin/wall,intact,78.6,occupancy=1.000; gap=0.000,232.36
14,10026,419.83989179823004,761.2525039893944,615.4698744692682,380.4604914779592,721.6549470580532,615.3011553571978,400.1501916380946,741.4537255237237,615.385514913233,55.84560994969739,exterior,middle,1:1:0,0.9734513274336283,0.02654867256637168,0.75,1.0,2.23606797749979,328.6066633530124,16.141063845411324,328.6066633530124,348.54,53187.0,113,intact,1.0,intact|intact|intact,19.93333664698764,0.05464429200219456,False,exterior strut may be contaminated by solid skin/wall,intact,81.6,occupancy=0.973; gap=0.027,232.36
15,14432,579.3460491909511,131.08455695169746,375.19733030165094,618.725449511222,170.6821138830389,375.3660494137213,599.0357493510866,150.8833354173682,375.28168985768616,55.84560994969751,exterior,high,1:1:0,1.0,0.0,1.0,1.0,0.0,284.58171831654965,5.338808780804346,284.58171831654965,284.58171831654965,50402.0,113,intact,1.0,intact|intact|intact,68.8202857270868,0.06705187499755993,False,exterior strut may be contaminated by solid skin/wall,intact,100.0,occupancy=1.000; gap=0.000,232.36
16,9158,381.46533686439017,404.9465854474598,771.6472138231304,420.9212593559862,405.25679054592274,732.1267621077491,401.19329811018815,405.1016879966913,751.8869879654397,55.845609949697334,exterior,middle,1:0:-1,1.0,0.0,1.0,1.0,1.7320508075688772,328.6066633530124,25.356400577147127,328.6066633530124,348.54,53021.0,113,intact,1.0,intact|intact|intact,63.958281683450366,0.10301858299499145,False,exterior strut may be contaminated by solid skin/wall,intact,84.6,occupancy=1.000; gap=0.000,232.36
17,10801,460.20300284370785,329.0002477682668,218.34511449950674,420.74708035211177,328.69004266980386,257.8655662148883,440.4750415979098,328.8451452190353,238.10534035719752,55.84560994969753,interior,middle,1:0:-1,1.0,0.0,1.0,1.0,0.0,328.6066633530124,28.421524325019206,284.58171831654965,348.54,53379.0,113,intact,1.0,intact|intact|intact,19.93333664698764,0.08928204100084258,True,,intact,100.0,occupancy=1.000; gap=0.000,232.36
18,13801,538.7100819662335,603.8289384794866,575.08154855609,578.0894822865042,643.426495410828,575.2502676681606,558.3997821263688,623.6277169451573,575.1659081121253,55.84560994969739,interior,high,1:1:0,1.0,0.0,1.0,1.0,1.7320508075688772,328.6066633530124,5.726605232940367e-14,328.6066633530124,328.6066633530124,51763.0,113,intact,1.0,intact|intact|intact,19.93333664698764,0.1445196670028963,True,,intact,84.6,occupancy=1.000; gap=0.000,232.36
19,3492,143.90015587507392,563.4474914516171,535.7140406444962,183.42152303597487,563.3561053921525,575.1701597767062,163.6608394555244,563.4017984218848,555.4421002106012,55.845609949697504,interior,low,1:0:1,1.0,0.0,1.0,1.0,2.8284271247461903,328.6066633530124,21.37980614505907,328.6066633530124,348.54,51851.0,113,intact,1.0,intact|intact|intact,56.718804790477975,0.13240987499739276,True,,intact,78.6,occupancy=1.000; gap=0.000,232.36
20,8410,421.2384255433071,209.2216225394581,454.70433712289815,381.8590252230362,169.6240656081167,454.5356180108277,401.54872538317164,189.42284407378742,454.61997756686293,55.84560994969749,interior,middle,1:1:0,1.0,0.0,1.0,1.0,1.0,328.6066633530124,13.205665084395878,328.6066633530124,328.6066633530124,51355.0,113,intact,1.0,intact|intact|intact,63.958281683450366,0.134430666003027,True,,intact,90.1,occupancy=1.000; gap=0.000,232.36
21,13543,578.3190488004798,525.5644399121925,456.18275518580475,538.7211594682539,564.9431778045357,456.41580688104676,558.5201041343669,545.2538088583641,456.29928103342576,55.84560994969734,interior,high,1:-1:0,1.0,0.0,1.0,1.0,0.0,348.54,7.896618639966613,348.54,348.54,49978.0,113,intact,1.0,intact|intact|intact,63.958281683450366,0.12587391700071748,True,,intact,100.0,occupancy=1.000; gap=0.000,232.36
22,5214,262.4974898638374,446.51605124837045,298.08517301599596,223.04156737224145,446.2058461499076,337.6056247313774,242.76952861803943,446.36094869913904,317.8453988736867,55.845609949697376,interior,low,1:0:-1,1.0,0.0,1.0,1.0,0.0,348.54,25.115612598861492,348.54,402.4593256467043,53350.0,113,intact,1.0,intact|intact|intact,36.785468143490334,0.10004650000337278,True,,intact,100.0,occupancy=1.000; gap=0.000,232.36
23,12600,539.4642261774651,249.84118082565283,296.8555819566141,499.94285901656406,249.93256688511752,257.39946282440417,519.7035425970146,249.88687385538518,277.12752239050917,55.845609949697526,interior,high,1:0:1,1.0,0.0,1.0,1.0,0.0,348.54,3.3929316376182768,348.54,348.54,52654.0,113,intact,1.0,intact|intact|intact,56.718804790477975,0.10664962499868125,True,,intact,100.0,occupancy=1.000; gap=0.000,232.36
24,15367,657.645716803542,446.00378181165104,613.6697934905033,618.1243496426409,446.09516787111585,574.2136743582935,637.8850332230915,446.04947484138347,593.9417339243984,55.845609949697405,exterior,high,1:0:1,1.0,0.0,1.0,1.0,1.0,348.54,16.300611178777267,328.6066633530124,367.3934185583623,52605.0,113,intact,1.0,intact|intact|intact,56.718804790477975,0.09645329200429842,False,exterior strut may be contaminated by solid skin/wall,intact,90.1,occupancy=1.000; gap=0.000,232.36
25,3923,182.99562251408452,682.4229343645706,457.30795971628777,143.3977331818584,721.8016722569137,457.5410114115298,163.19667784797144,702.1123033107422,457.4244855639088,55.8456099496974,exterior,low,1:-1:0,1.0,0.0,1.0,1.0,0.0,348.54,7.394723065360018,348.54,348.54,52415.0,113,intact,1.0,intact|intact|intact,63.958281683450366,0.10712704100296833,False,exterior strut may be contaminated by solid skin/wall,intact,100.0,occupancy=1.000; gap=0.000,232.36
26,11425,420.1681354875712,526.3315753079789,219.38170780937372,420.0261686469411,566.020518298785,180.09430778923425,420.09715206725616,546.176046803382,199.738007799304,55.84560994969743,interior,middle,0:-1:1,1.0,0.0,1.0,1.0,0.0,232.36,16.578552837381586,232.36,259.7863776259256,48366.0,113,intact,1.0,intact|intact|intact,52.22171831654964,0.11683400000038091,True,,thin,100.0,occupancy=1.000; gap=0.000; valid interior diameter=232.4 µm is in the sample's exploratory lower tail (≤232.4 µm),232.36
27,13759,498.9047811240724,683.2982105205634,457.0506293836013,499.0467479647025,643.6092675297574,496.33802940374073,498.9757645443874,663.4537390251604,476.694329393671,55.845609949697405,exterior,middle,0:-1:1,1.0,0.0,1.0,1.0,1.4142135623730951,259.7863776259256,12.92608031187934,232.36,259.7863776259256,47832.0,113,intact,1.0,intact|intact|intact,52.22171831654964,0.1179234169976553,False,exterior strut may be contaminated by solid skin/wall,intact,86.8,occupancy=1.000; gap=0.000,232.36
28,4351,184.2411119165113,208.9667565803911,375.92076402482155,184.3830787571414,169.27781358958498,415.20816404496105,184.31209533682636,189.12228508498805,395.56446403489133,55.84560994969751,interior,low,0:-1:1,1.0,0.0,1.0,1.0,2.0,232.36,7.3792453375254325,232.36,232.36,46163.0,113,intact,1.0,intact|intact|intact,58.556714802573424,0.12179545900289668,True,,thin,83.0,occupancy=1.000; gap=0.000; valid interior diameter=232.4 µm is in the sample's exploratory lower tail (≤232.4 µm),232.36
29,7631,301.450989662218,605.1804371521298,180.3916920676479,261.85310032999183,644.5591750444729,180.62474376288995,281.6520449961049,624.8698060983013,180.50821791526892,55.84560994969742,exterior,middle,1:-1:0,1.0,0.0,1.0,1.0,0.0,348.54,9.500759369955539,328.6066633530124,348.54,52239.0,113,intact,1.0,intact|intact|intact,19.93333664698764,0.13598108400037745,False,exterior strut may be contaminated by solid skin/wall,intact,100.0,occupancy=1.000; gap=0.000,232.36
30,779,65.3709217485077,366.39032209029904,416.30908993799954,25.99152142823689,326.7927651589577,416.14037082592915,45.681221588372296,346.59154362462834,416.2247303819644,55.84560994969739,exterior,low,1:1:0,1.0,0.0,1.0,1.0,0.0,829.6911548281084,416.37569291094354,499.56826234148156,1251.2968945857735,53964.0,113,intact,1.0,intact|intact|intact,540.4529509429569,0.13005291599984048,False,exterior strut may be contaminated by solid skin/wall,intact,100.0,occupancy=1.000; gap=0.000,232.36
